Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-45.5175	-79.508	33.9905	0.152762	0.847238	0.01	0.673505	0.43905	0.084425	0.0547979	0.0287199	0.0162346	0.0155766	0	0.5042436	-2	0.8472382	0.1527618	0.01
10	6.48734	-24.4158	30.9031	0.295092	0.704908	0.03731528	0.666831	0.436915	0.085288	0.054416	0.0287371	0.0158878	0.0154001	0	3.591596	1.157735	0.7049083	0.2950917	14.37922
20	8.21286	-23.9433	32.1562	0.792231	0.207769	0.7548112	0.673173	0.431192	0.0857843	0.0536306	0.0282383	0.0158796	0.0154507	0	2.338551	1.954177	0.2077691	0.7922309	89.98644
30	7.89947	-24.3592	32.2587	0.188765	0.811235	0.6492846	0.669087	0.437048	0.0864117	0.0549266	0.0288612	0.0158672	0.0151058	0	2.236	1.710274	0.8112346	0.1887654	51.31855
40	7.78346	-21.8577	29.6411	0.921531	0.0784685	4.794643	0.661583	0.437846	0.0850833	0.0534851	0.0282399	0.015822	0.0149682	0	4.85357	1.498984	0.07846855	0.9215315	31.5489
50	9.18014	-20.5034	29.6836	0.0771634	0.922837	6.727771	0.649407	0.438262	0.0859938	0.0538501	0.0279286	0.0163004	0.0152518	0	4.811137	1.984292	0.9228366	0.07716342	96.44777
60	8.64203	-23.1849	31.827	0.637171	0.362829	1.308807	0.66008	0.432059	0.08633	0.0538524	0.0288559	0.0160972	0.0155283	0	2.667755	1.563115	0.3628288	0.6371712	36.56916
70	8.05777	-20.5195	28.5773	0.289515	0.710485	1.160535	0.65891	0.430161	0.0827323	0.0540895	0.0288647	0.0162769	0.0153998	0	5.917408	1.782487	0.7104846	0.2895154	60.60198
80	8.63064	-21.4142	30.0449	0.243012	0.756988	1.613574	0.652642	0.440063	0.0835728	0.0542332	0.0287461	0.0164476	0.0154299	0	4.449818	1.440809	0.7569884	0.2430116	27.59366
90	8.50569	-22.9799	31.4856	0.422113	0.577887	0.8111619	0.675185	0.431482	0.083618	0.0534208	0.0289248	0.0162934	0.0149954	0	3.009085	1.662354	0.5778867	0.4221133	45.95727
100	8.52275	-21.5144	30.0372	0.0357032	0.964297	0.861442	0.654557	0.444976	0.0832115	0.0539337	0.0277942	0.0162666	0.0154209	0	4.45751	1.719703	0.9642968	0.03570321	52.44488
110	8.93834	-19.9462	28.8845	0.253214	0.746786	4.738741	0.645936	0.447231	0.0840027	0.0533695	0.0277571	0.01651	0.0154034	0	5.610171	1.994739	0.7467864	0.2532136	98.79587
120	7.86518	-19.5429	27.4081	0.483096	0.516904	2.79635	0.657202	0.445868	0.0850158	0.0543864	0.0287575	0.0163243	0.01537	0	7.086654	1.602338	0.5169045	0.4830955	40.02558
130	7.82959	-25.2404	33.07	0.413234	0.586766	5.619147	0.646307	0.447877	0.0851315	0.0532373	0.028769	0.0160695	0.0151619	0	1.424696	1.739187	0.5867661	0.4132339	54.85131
140	9.63392	-20.177	29.8109	0.988557	0.0114427	3.854118	0.656363	0.45089	0.084289	0.0548145	0.028106	0.0162314	0.0154232	0	4.683828	1.869385	0.01144267	0.9885573	74.02609
150	9.76927	-22.5638	32.3331	0.318963	0.681037	3.64895	0.649727	0.43707	0.0842688	0.055217	0.028306	0.0165678	0.0155384	0	2.161606	1.746593	0.681037	0.318963	55.79465
160	9.9311	-21.5938	31.5249	0.816025	0.183975	5.222494	0.6736	0.436954	0.0849426	0.0558404	0.0278808	0.016104	0.0154748	0	2.969804	1.840079	0.183975	0.816025	69.19562
170	9.12415	-22.4545	31.5787	0.426933	0.573067	6.664433	0.667985	0.442069	0.0858177	0.0559669	0.0277067	0.0160299	0.0154257	0	2.916049	1.896653	0.5730666	0.4269334	78.823
180	10.095	-20.7737	30.8687	0.169201	0.830799	5.238649	0.648266	0.449417	0.0856059	0.0535413	0.0277784	0.0164616	0.0148923	0	3.625971	1.900417	0.8307994	0.1692006	79.50914
190	6.41603	-19.812	26.2281	0.893822	0.106178	2.247077	0.652703	0.450684	0.0851878	0.0534284	0.0276394	0.0159569	0.0150577	0	8.266659	1.40112	0.1061783	0.8938217	25.18373
200	9.89565	-22.7155	32.6112	0.0778427	0.922157	3.681932	0.647117	0.450371	0.0849468	0.0534058	0.0277595	0.0158158	0.0148362	0	1.883553	1.989643	0.9221573	0.0778427	97.64343
210	9.18329	-22.1858	31.369	0.572493	0.427507	1.561961	0.646264	0.449159	0.0835037	0.0538939	0.0276548	0.016168	0.0150963	0	3.125665	1.955457	0.4275075	0.5724925	90.25206
220	7.59222	-23.2961	30.8883	0.727081	0.272919	3.671119	0.660294	0.432409	0.0856183	0.0538747	0.0279245	0.0162932	0.0149658	0	3.606436	1.327568	0.2729192	0.7270808	21.26024
230	8.20835	-20.1543	28.3627	0.293623	0.706377	2.423038	0.655872	0.430543	0.0850047	0.0536481	0.0287891	0.0163788	0.0154424	0	6.132053	1.905462	0.7063768	0.2936232	80.43807
240	8.72452	-22.8578	31.5823	0.141751	0.858249	5.949909	0.650412	0.435588	0.0837498	0.0538813	0.0278284	0.0165082	0.0153785	0	2.912409	1.73038	0.8582493	0.1417507	53.75014
250	9.0311	-22.2934	31.3245	0.921384	0.0786161	3.548008	0.662085	0.442418	0.0837719	0.0532535	0.0276179	0.0158926	0.0153849	0	3.170216	1.528035	0.07861615	0.9213839	33.73146
260	8.28754	-21.713	30.0005	0.102369	0.897631	4.42977	0.654607	0.438572	0.0862583	0.0546177	0.028748	0.0159779	0.0152604	0	4.494194	1.496775	0.8976308	0.1023692	31.38885
270	8.30289	-22.8592	31.1621	0.868357	0.131643	1.009742	0.653797	0.433825	0.0861087	0.0535393	0.028735	0.0165541	0.0152527	0	3.332598	1.443366	0.1316434	0.8683566	27.7566
280	10.3319	-21.6877	32.0196	0.024832	0.975168	5.065804	0.672584	0.435848	0.0860193	0.054908	0.0284124	0.016325	0.0154184	0	2.475091	1.937934	0.975168	0.02483204	86.683
290	10.1353	-21.7088	31.8442	0.549481	0.450519	5.084984	0.667893	0.432787	0.0856788	0.0545033	0.0286944	0.0163714	0.0152573	0	2.650547	1.877226	0.4505188	0.5494812	75.37484
300	8.68073	-20.6042	29.2849	0.271438	0.728562	2.030293	0.65464	0.438003	0.0832803	0.053572	0.0289091	0.016113	0.0151878	0	5.209765	1.943322	0.7285625	0.2714375	87.7651
310	9.95531	-20.4909	30.4462	0.111629	0.888371	4.12737	0.670214	0.441889	0.0836743	0.0546598	0.0285583	0.0162937	0.0155849	0	4.048495	1.793685	0.8883712	0.1116288	62.18489
320	9.53382	-21.4514	30.9852	0.500639	0.499361	3.96752	0.667737	0.445303	0.0823984	0.0533793	0.0284856	0.0158923	0.0154156	0	3.50952	1.640844	0.4993608	0.5006392	43.73653
330	6.12127	-25.5392	31.6605	0.752021	0.247979	7.203828	0.662708	0.432795	0.0832256	0.0535961	0.0280345	0.0159106	0.0152632	0	2.834245	1.588013	0.2479789	0.7520211	38.72691
