Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
490	10	8	1	7	1	6	1	5	1	4	1	3	1	2	1	1	1	1	1	1	1	1	1	1	4	10	1	12	1	1
500	13	8	2	7	2	6	3	5	11	4	2	3	2	2	1	1	2	2	3	11	1	3	1	1	2	13	1	2	1	1
510	4	8	4	7	4	6	1	5	2	4	5	3	5	2	2	1	2	5	3	2	2	10	1	2	4	4	1	4	1	1
520	10	8	1	7	2	6	1	5	5	4	16	3	2	2	1	1	5	16	1	5	1	1	1	1	2	10	1	2	1	1
530	15	8	1	7	3	6	3	5	9	4	2	3	2	2	1	1	2	2	3	9	1	3	1	1	3	15	1	3	1	1
540	5	8	2	7	3	6	3	5	3	4	7	3	4	2	1	1	3	27	1	3	1	10	1	1	3	16	1	3	1	1
550	5	8	2	7	1	6	3	5	1	4	5	3	5	2	1	1	1	5	3	1	1	3	1	1	1	16	1	1	1	1
560	5	8	5	7	1	6	1	5	3	4	3	3	3	2	2	1	3	3	1	3	9	1	1	9	1	5	1	1	1	1
570	12	8	4	7	2	6	1	5	3	4	2	3	2	2	2	1	3	2	1	3	2	1	1	2	2	12	1	2	1	1
580	10	8	1	7	1	6	3	5	3	4	5	3	16	2	1	1	3	16	3	3	1	3	1	1	1	10	1	1	1	1
590	4	8	4	7	4	6	1	5	5	4	2	3	2	2	9	1	5	2	1	5	1	1	1	9	4	4	1	4	1	1
600	5	8	5	7	1	6	3	5	4	4	3	3	2	2	2	1	4	11	3	4	9	3	1	9	3	5	1	10	1	1
610	1	8	4	7	1	6	2	5	15	4	3	3	3	2	1	1	5	3	1	15	1	9	1	1	1	12	1	1	1	1
620	4	8	12	7	4	6	2	5	2	4	10	3	1	2	1	1	2	10	2	2	1	2	1	1	4	12	1	4	1	1
630	4	8	4	7	3	6	2	5	3	4	5	3	1	2	2	1	3	15	2	3	1	2	1	9	3	4	1	3	1	1
640	3	8	3	7	1	6	3	5	1	4	3	3	11	2	2	1	1	11	3	1	2	3	1	2	10	3	1	10	1	1
650	2	8	2	7	2	6	1	5	4	4	3	3	17	2	2	1	4	17	1	4	2	1	1	2	2	2	1	2	1	1
660	2	8	1	7	3	6	3	5	1	4	5	3	5	2	1	1	1	5	1	1	1	10	1	1	1	9	1	10	1	1
670	2	8	2	7	2	6	1	5	2	4	2	3	2	2	9	1	2	2	1	2	1	1	1	9	3	2	1	11	1	1
680	2	8	2	7	3	6	2	5	2	4	12	3	4	2	1	1	2	12	2	2	1	2	1	1	3	2	1	3	1	1
690	4	8	4	7	2	6	3	5	5	4	1	3	12	2	2	1	5	12	3	5	2	3	1	2	2	4	1	2	1	1
700	3	8	3	7	3	6	1	5	9	4	1	3	24	2	1	1	1	24	1	9	1	1	1	1	3	3	1	3	1	1
710	2	8	5	7	2	6	10	5	2	4	14	3	3	2	1	1	2	14	3	2	1	10	1	1	1	16	1	9	1	1
720	1	8	1	7	2	6	1	5	1	4	17	3	3	2	2	1	9	17	1	9	2	1	1	2	2	1	1	2	1	1
730	2	8	2	7	2	6	2	5	1	4	3	3	3	2	1	1	1	3	2	1	9	2	1	9	2	2	1	2	1	1
