Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-49.7795	-78.8765	29.0971	0.269931	0.730069	0.01	0.344531	0.285434	0.181007	0.136274	0.0783355	0.0490658	0.0303546	0	2.021539	-2	0.7300693	0.2699307	0.01
10	4.55168	-23.4698	28.0214	0.198859	0.801141	0.1863564	0.336451	0.282329	0.181448	0.136429	0.0785936	0.0491811	0.0308379	0	3.097149	1.741689	0.8011411	0.1988589	55.16826
20	4.39856	-21.5293	25.9278	0.997762	0.00223774	0.2746586	0.341424	0.277041	0.181703	0.137118	0.0793213	0.0483005	0.0298849	0	5.190749	1.861083	0.002237735	0.9977623	72.62442
30	6.35922	-20.6722	27.0314	0.0810889	0.918911	2.035925	0.338565	0.280654	0.179693	0.135586	0.0795626	0.0480899	0.0297236	0	4.087189	1.655097	0.9189111	0.08108887	45.19564
40	8.00823	-20.569	28.5773	0.325538	0.674462	7.61994	0.335144	0.290638	0.183836	0.135406	0.079662	0.0481228	0.0300267	0	2.541328	1.649301	0.6744615	0.3255385	44.59652
50	4.5065	-18.6289	23.1354	0.45711	0.54289	8.244002	0.338727	0.28704	0.182461	0.138009	0.0783422	0.0474615	0.0307381	0	7.983155	1.772403	0.5428896	0.4571104	59.21105
60	6.19258	-18.5194	24.712	0.615471	0.384529	7.181758	0.346192	0.290544	0.179978	0.137044	0.0808357	0.0482916	0.0305793	0	6.406636	1.901995	0.3845289	0.6154711	79.79854
70	8.04075	-19.3365	27.3773	0.258225	0.741775	9.044969	0.349705	0.286066	0.18001	0.131495	0.0803325	0.0471407	0.0296539	0	3.741318	1.965236	0.7417751	0.2582249	92.30738
80	7.66191	-19.6028	27.2647	0.486972	0.513028	7.361453	0.340353	0.284734	0.180601	0.134458	0.0802206	0.0474024	0.0302063	0	3.853911	1.640806	0.5130285	0.4869715	43.73262
90	8.74579	-20.8724	29.6182	0.767691	0.232309	8.575039	0.333725	0.278686	0.180712	0.135088	0.0786436	0.0472184	0.0300659	0	1.500397	1.972902	0.232309	0.767691	93.95109
100	8.62673	-19.4109	28.0376	0.857065	0.142935	6.82625	0.335938	0.278263	0.181512	0.13673	0.0792078	0.0469857	0.0297944	0	3.080969	1.920696	0.142935	0.857065	83.30969
110	7.89281	-20.3057	28.1985	0.433748	0.566252	5.112895	0.344513	0.280335	0.18754	0.134807	0.0777106	0.046809	0.0295276	0	2.920086	1.511693	0.5662519	0.4337481	32.48575
120	7.41225	-18.9598	26.372	0.417684	0.582316	7.747508	0.339817	0.285754	0.187581	0.137053	0.0778612	0.0471451	0.0307382	0	4.746588	1.805242	0.582316	0.417684	63.8619
130	8.6296	-21.1572	29.7868	0.611927	0.388073	6.975458	0.341958	0.290392	0.187019	0.134591	0.078683	0.0478082	0.0299552	0	1.331797	1.969126	0.3880727	0.6119273	93.13778
140	8.7607	-20.0733	28.834	0.284198	0.715802	6.508667	0.347443	0.28257	0.186608	0.13399	0.0775327	0.0484032	0.0307083	0	2.284557	1.816919	0.7158019	0.2841981	65.60233
150	7.10164	-21.3354	28.4371	0.250053	0.749947	2.703643	0.345426	0.28851	0.186856	0.135087	0.0776975	0.0472471	0.0299162	0	2.681535	1.87236	0.7499468	0.2500532	74.53489
160	8.85367	-20.4912	29.3449	0.796457	0.203543	6.743162	0.338399	0.286531	0.186238	0.137057	0.0780532	0.0468611	0.0308665	0	1.773733	1.932918	0.2035431	0.7964569	85.68754
170	8.07156	-20.9008	28.9723	0.753911	0.246089	4.579389	0.337514	0.285238	0.183514	0.131411	0.0769698	0.0471913	0.030219	0	2.146254	1.669534	0.2460891	0.7539109	46.72339
180	7.86658	-20.6373	28.5038	0.303936	0.696064	3.86486	0.340895	0.286472	0.180604	0.137708	0.0790322	0.0476774	0.0307064	0	2.614764	1.829137	0.6960637	0.3039363	67.47413
190	8.01505	-19.5197	27.5348	0.187233	0.812767	8.383107	0.334024	0.281995	0.181371	0.13484	0.0787547	0.049073	0.0304893	0	3.583815	1.811692	0.8127673	0.1872327	64.81749
200	7.07493	-18.7237	25.7986	0.536642	0.463358	5.805326	0.338789	0.283548	0.183995	0.132263	0.0799771	0.0490857	0.0294618	0	5.319968	1.765965	0.463358	0.536642	58.33984
210	8.22232	-20.0089	28.2312	0.4374	0.5626	4.728821	0.342904	0.278402	0.185149	0.132838	0.0799677	0.0485616	0.0303765	0	2.887408	1.76718	0.5626003	0.4373997	58.50329
220	6.90297	-20.9655	27.8685	0.218207	0.781793	10.23173	0.346337	0.277571	0.186487	0.132761	0.0792722	0.0488909	0.0308689	0	3.25013	1.808611	0.7817927	0.2182073	64.35922
230	8.46064	-21.3386	29.7992	0.266397	0.733603	6.684378	0.348249	0.282933	0.185265	0.13683	0.0797896	0.0487323	0.0301878	0	1.319383	1.905808	0.7336034	0.2663966	80.50221
240	8.10789	-21.0034	29.1112	0.340435	0.659565	5.404028	0.3421	0.285236	0.18544	0.134194	0.0778258	0.0479409	0.0297106	0	2.007354	1.612101	0.6595655	0.3404345	40.93555
250	7.46762	-19.7251	27.1927	0.468432	0.531568	6.96443	0.337634	0.283559	0.181718	0.134686	0.0776792	0.0479232	0.029605	0	3.925848	1.573637	0.5315683	0.4684317	37.46596
