Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-82.1107	-122.933	40.8221	0.98962	0.0103797	0.01	0.150555	0.122206	0.108041	0.0806725	0.0545336	0.0211038	8.61152e-05	0	0.1164111	-2	0.01037971	0.9896203	0.01
10	7.51037	-29.0367	36.5471	0.682533	0.317467	0.02897846	0.148966	0.119956	0.108105	0.0789326	0.0544962	0.0207224	8.35518e-05	0	4.391424	1.898059	0.3174673	0.6825327	79.07867
20	7.56527	-30.2745	37.8398	0.287067	0.712933	0.1788477	0.150415	0.122523	0.107136	0.0800805	0.055594	0.020589	8.25461e-05	0	3.098665	1.630332	0.7129328	0.2870672	42.69053
30	5.69816	-32.5407	38.2388	0.83754	0.16246	2.786662	0.14982	0.121655	0.106107	0.0790374	0.0544441	0.0203908	8.44039e-05	0	2.699643	1.397061	0.1624596	0.8375404	24.94947
40	10.286	-28.0331	38.3191	0.22841	0.77159	2.248836	0.149347	0.120759	0.104198	0.0794108	0.0558827	0.0207958	8.60759e-05	0	2.619384	1.888486	0.7715898	0.2284102	77.35454
50	10.5029	-28.4204	38.9233	0.46506	0.53494	3.174771	0.144129	0.119894	0.103101	0.0815556	0.0555819	0.0211642	8.64185e-05	0	2.015221	1.982192	0.5349397	0.4650603	95.98246
60	9.52903	-29.9949	39.5239	0.465266	0.534734	4.623505	0.146939	0.120893	0.104204	0.0793561	0.0559616	0.0209976	8.46032e-05	0	1.414568	1.793015	0.5347339	0.4652661	62.08911
70	9.50116	-27.48	36.9812	0.337209	0.662791	2.389222	0.150519	0.121291	0.104748	0.0793337	0.0543031	0.0208751	8.56414e-05	0	3.957306	1.831568	0.6627915	0.3372085	67.85287
80	10.0787	-28.5812	38.66	0.0749495	0.92505	4.690986	0.151149	0.120948	0.107295	0.0785874	0.0546118	0.0211226	8.53531e-05	0	2.278489	1.680728	0.9250505	0.07494955	47.94327
90	11.045	-26.2636	37.3086	0.206442	0.793558	5.011406	0.146437	0.121582	0.105859	0.0804068	0.0541366	0.0212357	8.64205e-05	0	3.629894	1.999232	0.7935581	0.2064419	99.8233
100	10.4116	-28.2551	38.6667	0.438339	0.561661	6.717356	0.150094	0.122096	0.105332	0.0786029	0.054501	0.0210202	8.66844e-05	0	2.271797	1.949469	0.5616607	0.4383393	89.01619
110	8.63201	-30.4223	39.0543	0.346629	0.653371	5.389116	0.150772	0.125738	0.105314	0.0787193	0.0555031	0.0204802	8.65257e-05	0	1.884138	1.62169	0.6533711	0.3466289	41.84944
120	8.99791	-28.0599	37.0578	0.585929	0.414071	6.31037	0.151163	0.126062	0.104427	0.080818	0.0554257	0.0203611	8.65339e-05	0	3.880662	1.871877	0.4140712	0.5859288	74.45203
130	10.6703	-28.2559	38.9262	0.247687	0.752313	6.815742	0.15036	0.121295	0.104886	0.0808623	0.0547151	0.0209565	8.53041e-05	0	2.012231	1.936407	0.7523131	0.2476869	86.37869
140	10.5349	-25.9885	36.5233	0.0574692	0.942531	4.641996	0.148635	0.122472	0.103268	0.081528	0.053871	0.0208537	8.51949e-05	0	4.415134	1.93018	0.9425308	0.05746923	85.14911
150	6.61564	-28.4854	35.101	0.746815	0.253185	1.879936	0.147371	0.124834	0.102919	0.0824862	0.0541939	0.0211884	8.2577e-05	0	5.837467	1.753539	0.2531846	0.7468154	56.6943
160	10.3174	-28.5606	38.878	0.137068	0.862932	2.276947	0.14952	0.124735	0.105441	0.0823711	0.0543161	0.0212309	8.29977e-05	0	2.060507	1.895594	0.8629323	0.1370677	78.63112
170	9.80563	-29.12	38.9256	0.663664	0.336336	3.158014	0.149916	0.122293	0.104475	0.0814452	0.055207	0.0210884	8.4045e-05	0	2.012866	1.97117	0.3363356	0.6636644	93.57716
180	6.9119	-29.4904	36.4023	0.736117	0.263883	5.598524	0.149747	0.124652	0.102964	0.0813313	0.0561352	0.0207113	8.50793e-05	0	4.536167	1.655357	0.2638834	0.7361166	45.22274
190	11.3042	-26.8335	38.1377	0.224999	0.775001	5.234882	0.149961	0.125715	0.107262	0.0822177	0.0534399	0.0208805	8.41946e-05	0	2.800799	1.978917	0.7750008	0.2249992	95.26149
200	10.9085	-26.1766	37.0851	0.111797	0.888203	5.395483	0.150192	0.123739	0.10749	0.0817087	0.0535126	0.0205187	8.37201e-05	0	3.853412	1.977396	0.8882029	0.1117971	94.92828
210	10.3485	-28.4664	38.8149	0.109571	0.890429	7.654558	0.15091	0.120175	0.106876	0.0794442	0.0547912	0.0211806	8.31246e-05	0	2.1236	1.94656	0.8904289	0.1095711	88.42184
220	10.7097	-28.2699	38.9796	0.19537	0.80463	3.862637	0.150503	0.123411	0.106316	0.0813367	0.0543968	0.0209409	8.36e-05	0	1.958847	1.854231	0.8046296	0.1953704	71.48759
230	7.23677	-29.9589	37.1957	0.701217	0.298783	2.514536	0.149487	0.12407	0.106098	0.0809169	0.0557829	0.0210066	8.55711e-05	0	3.742821	1.546155	0.298783	0.701217	35.16858
240	9.15766	-26.839	35.9967	0.531637	0.468363	4.896378	0.151557	0.122714	0.106148	0.0810812	0.0556746	0.0210951	8.29404e-05	0	4.941822	1.968972	0.4683633	0.5316367	93.10468
250	9.53311	-26.689	36.2221	0.140107	0.859893	6.272949	0.149428	0.119845	0.107404	0.0812507	0.0541542	0.0202759	8.38131e-05	0	4.716359	1.893001	0.8598925	0.1401075	78.16301
260	8.61147	-28.961	37.5725	0.245517	0.754483	2.139854	0.151004	0.121121	0.107578	0.0805895	0.0550141	0.0205037	8.42735e-05	0	3.365974	1.58303	0.7544829	0.2455171	38.28509
270	9.86195	-29.0147	38.8767	0.709335	0.290665	3.883085	0.145689	0.121296	0.107614	0.081037	0.0552779	0.0204441	8.54581e-05	0	2.061782	1.950248	0.2906645	0.7093355	89.1759
280	11.2057	-27.4126	38.6183	0.170247	0.829753	4.746185	0.151554	0.120745	0.108158	0.0804793	0.0552662	0.0203294	8.54273e-05	0	2.320184	1.900627	0.8297526	0.1702474	79.54752
290	9.68003	-29.9008	39.5808	0.147286	0.852714	3.501778	0.150022	0.121494	0.107093	0.0812299	0.0547503	0.0205828	8.47034e-05	0	1.357691	1.75767	0.852714	0.147286	57.23614
300	11.5083	-27.5658	39.0742	0.0446228	0.955377	4.096879	0.151161	0.12027	0.10782	0.0811936	0.0557306	0.0208205	8.56792e-05	0	1.864314	1.943259	0.9553772	0.0446228	87.75232
310	10.1021	-27.9447	38.0468	0.215874	0.784126	7.74458	0.145853	0.120584	0.10488	0.0823876	0.0539155	0.0206272	8.6162e-05	0	2.89168	1.979182	0.7841259	0.2158741	95.31956
320	11.7973	-26.9268	38.7241	0.0927248	0.907275	4.951294	0.144296	0.120109	0.107121	0.0823548	0.0550276	0.0205677	8.39623e-05	0	2.214421	1.996707	0.9072752	0.09272483	99.24463
