Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-51.6705	-75.2169	23.5464	0.574004	0.425996	0.01	0.68594	0.640372	0.456833	0.427024	0.155103	0.0891175	0.0345798	0	2.510245	-2	0.4259957	0.5740043	0.01
10	-0.976688	-21.5823	20.6056	0.996836	0.0031641	0.07401073	0.69668	0.665896	0.457265	0.422072	0.156823	0.0883685	0.0339331	0	5.451068	1.89753	0.0031641	0.9968359	78.98225
20	-0.691959	-22.9452	22.2533	0.392645	0.607355	0.1878087	0.683685	0.647364	0.450541	0.430748	0.157609	0.0896669	0.033785	0	3.803414	1.088245	0.6073547	0.3926453	12.25307
30	-1.68526	-20.798	19.1128	0.685859	0.314141	0.3353211	0.696558	0.661031	0.457688	0.428401	0.15846	0.0904771	0.0335599	0	6.943933	1.060475	0.3141409	0.6858591	11.49411
40	-0.208054	-22.4223	22.2143	0.400756	0.599244	0.354172	0.712723	0.66585	0.460842	0.426461	0.15817	0.0903799	0.0347272	0	3.842423	1.607041	0.5992442	0.4007558	40.46139
50	2.14416	-21.6031	23.7473	0.47398	0.52602	8.710118	0.714867	0.662792	0.454228	0.421407	0.158184	0.0899487	0.0343576	0	2.309407	1.820267	0.5260196	0.4739804	66.11005
60	1.75459	-19.8633	21.6178	0.427347	0.572653	5.342178	0.71067	0.65827	0.447827	0.419295	0.15562	0.0910924	0.0336397	0	4.438854	1.378975	0.5726533	0.4273467	23.93179
70	-0.406224	-22.0035	21.5973	0.592414	0.407586	7.445268	0.690634	0.671527	0.452101	0.427077	0.160749	0.089988	0.03392	0	4.459437	1.333252	0.4075857	0.5924143	21.5403
80	1.13844	-20.9234	22.0619	0.188699	0.811301	3.366998	0.693348	0.661355	0.455765	0.425257	0.158257	0.0885828	0.034149	0	3.994814	1.087383	0.8113011	0.1886989	12.22878
90	3.01357	-21.2302	24.2437	0.991028	0.00897189	4.291264	0.680186	0.664556	0.447363	0.42158	0.156194	0.0886398	0.0335267	0	1.812962	1.711929	0.008971891	0.9910281	51.51448
