Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-56.7143	-87.2706	30.5563	0.25002	0.74998	0.01	0.531349	0.425682	0.294442	0.146535	0.0801344	0.0706707	0.00476634	0	0.6184134	-2	0.7499798	0.2500202	0.01
10	3.28408	-25.7202	29.0042	0.625556	0.374444	0.02084039	0.514078	0.433765	0.303669	0.147246	0.0784343	0.0696783	0.00472203	0	2.170512	1.908039	0.374444	0.625556	80.91688
20	4.18981	-23.7225	27.9123	0.0249083	0.975092	0.001763081	0.516427	0.434518	0.307329	0.144001	0.0818372	0.0721628	0.00464575	0	3.262428	1.98265	0.9750917	0.02490825	96.08379
30	2.30649	-26.1974	28.5039	0.978786	0.0212142	0.03294597	0.511404	0.4267	0.307543	0.143077	0.0813159	0.0702895	0.00467468	0	2.670827	1.341514	0.02121419	0.9787858	21.954
40	2.92651	-20.8875	23.814	0.877505	0.122495	0.01297953	0.531883	0.429427	0.306587	0.145541	0.0800011	0.0695738	0.00461467	0	7.360714	1.937005	0.1224952	0.8775048	86.49786
50	3.01185	-23.0462	26.0581	0.421013	0.578987	0.2352459	0.531834	0.437413	0.302232	0.144733	0.0808839	0.0706827	0.00461531	0	5.116674	1.334209	0.5789865	0.4210135	21.58785
60	2.89817	-25.7635	28.6616	0.0270809	0.972919	0.6059832	0.511271	0.441491	0.307798	0.140234	0.0817227	0.0704192	0.00464835	0	2.513134	1.009971	0.9729191	0.02708095	10.23225
70	3.90333	-20.8174	24.7207	0.215093	0.784907	1.201262	0.537144	0.437944	0.299407	0.142708	0.0815885	0.0727109	0.00465452	0	6.454028	1.597558	0.7849073	0.2150927	39.58752
80	6.57285	-21.4152	27.988	0.0621662	0.937834	2.105194	0.526628	0.43863	0.296825	0.143279	0.0807226	0.0727782	0.00477259	0	3.186754	1.976022	0.9378338	0.06216623	94.6285
90	6.52339	-20.3657	26.8891	0.0999908	0.900009	4.085233	0.532926	0.439063	0.299173	0.140603	0.0808592	0.0725835	0.00478035	0	4.285695	1.841581	0.9000092	0.09999079	69.43542
100	5.56407	-21.5947	27.1587	0.516202	0.483798	2.225501	0.518319	0.419688	0.30336	0.143566	0.0813851	0.0697776	0.00463325	0	4.016009	1.617171	0.4837982	0.5162018	41.41629
110	6.48376	-23.2381	29.7219	0.104597	0.895403	5.407785	0.521036	0.420795	0.304907	0.142707	0.0809592	0.0702324	0.00460839	0	1.452873	1.851097	0.8954035	0.1045965	70.97359
120	6.4932	-20.6756	27.1688	0.599057	0.400943	4.999185	0.534415	0.426295	0.302674	0.141124	0.0805994	0.0708261	0.00468585	0	4.005957	1.925009	0.4009429	0.5990571	84.14134
130	7.21426	-20.8027	28.017	0.707231	0.292769	3.365344	0.521467	0.422062	0.301385	0.146674	0.0795983	0.0698782	0.00470271	0	3.157773	1.987352	0.292769	0.707231	97.1297
140	5.68614	-21.5716	27.2577	0.0766137	0.923386	1.177785	0.534005	0.425174	0.307499	0.143702	0.0785881	0.0698983	0.0047076	0	3.917012	1.996963	0.9233863	0.07661367	99.30307
150	6.98364	-21.6163	28.5999	0.705886	0.294114	3.41633	0.53258	0.422463	0.306415	0.144559	0.0794914	0.0704704	0.00466445	0	2.574846	1.903368	0.2941142	0.7058858	80.05126
160	6.88089	-22.4147	29.2956	0.293116	0.706884	4.499345	0.534435	0.422369	0.307339	0.145703	0.0797798	0.0727859	0.00465854	0	1.879122	1.884244	0.7068836	0.2931164	76.6027
170	5.44527	-23.0243	28.4696	0.555221	0.444779	4.72978	0.511363	0.420814	0.303575	0.146759	0.0785851	0.0716749	0.00476778	0	2.705167	1.542377	0.4447793	0.5552207	34.86397
180	6.51397	-20.7561	27.27	0.0233592	0.976641	3.363972	0.51544	0.420524	0.2952	0.146913	0.0786194	0.0713167	0.00455367	0	3.904738	1.775363	0.9766408	0.02335923	59.61608
190	7.09128	-21.5189	28.6101	0.799371	0.200629	3.717599	0.517902	0.425248	0.295411	0.146603	0.0784077	0.071638	0.00475812	0	2.564614	1.917423	0.2006286	0.7993714	82.68436
200	5.5387	-24.6409	30.1796	0.282871	0.717129	6.772578	0.510474	0.428724	0.30026	0.141342	0.0780172	0.0717145	0.00476644	0	0.9951892	1.921457	0.7171292	0.2828708	83.45592
210	6.11649	-22.2185	28.335	0.634181	0.365819	4.561543	0.532345	0.434612	0.295804	0.141568	0.0787462	0.0698155	0.00474039	0	2.839757	1.667207	0.3658193	0.6341807	46.4737
220	6.17439	-22.0301	28.2045	0.30675	0.69325	2.133337	0.523341	0.440157	0.29581	0.14008	0.0785006	0.0705019	0.00476271	0	2.970251	1.776724	0.6932499	0.3067501	59.80317
230	7.14127	-22.0558	29.1971	0.142032	0.857968	4.207305	0.524464	0.424816	0.292583	0.140642	0.0779987	0.070932	0.00470266	0	1.977676	1.9326	0.857968	0.142032	85.62491
240	6.27673	-22.5648	28.8416	0.62891	0.37109	5.672554	0.519073	0.423689	0.293344	0.146043	0.0811865	0.070893	0.00468479	0	2.333206	1.803208	0.37109	0.62891	63.56348
