Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-57.9921	-96.1175	38.1254	0.455606	0.544394	0.01	0.151646	0.0461126	0.0436251	0.0436047	0.0418067	0.0401638	0.00241425	0	1.432109	-2	0.5443945	0.4556055	0.01
10	12.1069	-24.2693	36.3762	0.439914	0.560086	0.04998297	0.154599	0.0462129	0.0438858	0.0435623	0.0438096	0.0415073	0.00247219	0	3.181346	1.970661	0.5600857	0.4399143	93.46762
20	11.3338	-23.4818	34.8156	0.38832	0.61168	0.748724	0.153535	0.0461126	0.0442446	0.0432373	0.0437582	0.0405652	0.00244761	0	4.741938	1.57921	0.6116802	0.3883198	37.94983
30	12.1482	-22.4951	34.6433	0.732208	0.267792	4.769115	0.153319	0.0469616	0.0443161	0.0443869	0.0431418	0.0410673	0.00246493	0	4.914218	1.96652	0.2677922	0.7322078	92.58058
40	11.5539	-26.3745	37.9285	0.0323327	0.967667	8.216683	0.150227	0.0467442	0.0439891	0.0437882	0.0431855	0.0414269	0.00249466	0	1.629033	1.913817	0.9676673	0.03233274	82.00059
50	11.866	-25.3505	37.2164	0.802821	0.197179	4.508136	0.151597	0.0470237	0.0451612	0.0440947	0.0429486	0.0400943	0.00246666	0	2.341063	1.848224	0.1971791	0.8028209	70.50571
60	10.1396	-23.4626	33.6022	0.500192	0.499808	5.002602	0.15181	0.0470061	0.0445299	0.0429426	0.0420977	0.040441	0.00244439	0	5.955285	1.662526	0.4998082	0.5001918	45.9755
70	9.34372	-27.067	36.4107	0.869764	0.130236	10.91914	0.15471	0.0455323	0.0454316	0.0431505	0.0417348	0.0415937	0.0024485	0	3.146799	1.839106	0.1302365	0.8697635	69.04087
80	11.1325	-25.944	37.0766	0.285568	0.714432	9.062759	0.151096	0.0459581	0.0444296	0.0435196	0.0434235	0.0413679	0.00242638	0	2.480952	1.903279	0.7144318	0.2855682	80.03492
90	11.4698	-24.1277	35.5975	0.297081	0.702919	1.534284	0.150815	0.0462916	0.0446261	0.0428806	0.0435969	0.0412363	0.00246657	0	3.960004	1.529776	0.7029191	0.2970809	33.86693
100	9.25005	-25.1026	34.3526	0.836507	0.163493	7.473878	0.155495	0.0463402	0.0456975	0.0428403	0.0428567	0.0408966	0.00241798	0	5.204895	1.660278	0.1634931	0.8365069	45.73814
110	12.8239	-23.3373	36.1612	0.797778	0.202222	3.828782	0.154424	0.0453444	0.0453679	0.0427829	0.0427706	0.0409237	0.0024167	0	3.396349	1.993115	0.2022216	0.7977784	98.42712
