Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-61.146	-94.3506	33.2046	0.782783	0.217217	0.01	0.326773	0.282052	0.214696	0.0833282	0.02946	0.0265004	0.0215987	0	0.2888251	-2	0.2172169	0.7827831	0.01
10	6.08944	-24.9767	31.0661	0.387131	0.612869	0.005005203	0.325408	0.282892	0.20933	0.0819896	0.0298723	0.0264343	0.0220141	0	2.427292	1.477004	0.6128688	0.3871312	29.99189
20	6.09087	-21.3152	27.4061	0.969578	0.0304222	0.007945471	0.327462	0.271411	0.211286	0.0827021	0.0293013	0.0264373	0.0214374	0	6.087283	1.768679	0.03042225	0.9695778	58.70558
30	6.48135	-24.4259	30.9073	0.949544	0.0504558	0.04648805	0.327103	0.271368	0.206938	0.0827998	0.0295325	0.0264826	0.0220156	0	2.586107	1.765058	0.05045585	0.9495442	58.21803
40	4.99341	-27.0109	32.0043	0.426949	0.573051	0.07560605	0.319762	0.273727	0.207987	0.0833277	0.0296819	0.0260856	0.0214917	0	1.489056	1.920019	0.5730513	0.4269487	83.17994
50	5.2343	-21.9752	27.2095	0.0845153	0.915485	0.2944049	0.324341	0.269623	0.213432	0.0841469	0.0295881	0.0267024	0.0211245	0	6.283861	1.011968	0.9154847	0.08451535	10.27942
60	7.52254	-20.947	28.4695	0.560885	0.439115	0.9062002	0.325626	0.271922	0.213702	0.0835472	0.0293169	0.0262616	0.0211746	0	5.023866	1.693411	0.4391148	0.5608852	49.36403
70	7.67372	-21.757	29.4307	0.355219	0.644781	1.484156	0.322633	0.274745	0.215263	0.0818739	0.0285632	0.0268266	0.0216285	0	4.062682	1.308171	0.644781	0.355219	20.33159
80	7.07653	-18.4226	25.4991	0.910403	0.0895973	4.811355	0.323434	0.276792	0.209227	0.0827423	0.0287723	0.0256125	0.0210663	0	7.994274	1.860414	0.0895973	0.9104027	72.51272
90	6.66016	-20.6683	27.3285	0.856272	0.143728	1.322513	0.317826	0.279698	0.212127	0.0818244	0.028877	0.0261168	0.021196	0	6.164921	1.282448	0.1437278	0.8562722	19.16232
