Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-56.6466	-96.9212	40.2746	0.0365362	0.963464	0.01	0.344284	0.254709	0.14184	0.0994129	0.00829846	0.00212705	0.00126549	0	0.08655181	-2	0.9634638	0.03653616	0.01
10	11.8051	-23.4248	35.2299	0.664181	0.335819	0.003632775	0.344996	0.254985	0.140497	0.0988859	0.0082848	0.0021503	0.0012646	0	5.131207	1.800279	0.3358187	0.6641813	63.13624
20	11.4781	-26.694	38.1721	0.189504	0.810496	0.001791337	0.344314	0.249363	0.140317	0.0996069	0.00830909	0.00213119	0.00129986	0	2.189037	1.735812	0.8104964	0.1895036	54.42669
30	11.9518	-22.3166	34.2684	0.81643	0.18357	0.006888	0.351621	0.24297	0.13993	0.0992165	0.00838919	0.00206438	0.00125342	0	6.092726	1.940817	0.1835698	0.8164302	87.26033
40	11.3864	-22.9453	34.3317	0.47693	0.52307	0.00543876	0.350221	0.24385	0.141078	0.0976561	0.00826238	0.00207179	0.00124902	0	6.029482	1.774093	0.5230696	0.4769304	59.44193
50	12.1489	-24.7228	36.8716	0.730399	0.269601	0.01057856	0.343832	0.252768	0.140712	0.0955882	0.00816307	0.00210931	0.00125898	0	3.489511	1.860671	0.2696015	0.7303985	72.55562
60	12.8326	-23.9436	36.7762	0.283234	0.716766	0.03452508	0.353889	0.246663	0.140071	0.095355	0.00807534	0.00208404	0.00126101	0	3.584914	1.951242	0.716766	0.283234	89.38027
70	12.0078	-25.9761	37.984	0.207894	0.792106	0.05690986	0.350108	0.243625	0.138984	0.0984086	0.00817794	0.00213521	0.0012758	0	2.377191	1.817079	0.7921055	0.2078945	65.62644
80	11.9517	-21.6901	33.6418	0.990345	0.0096548	0.2609075	0.350174	0.250602	0.142353	0.0978847	0.0081723	0.00208568	0.00127241	0	6.719324	1.9615	0.0096548	0.9903452	91.51658
90	11.7249	-25.5304	37.2553	0.240215	0.759785	0.07614442	0.355556	0.24838	0.138641	0.0953492	0.00836243	0.00206714	0.00129448	0	3.105834	1.691818	0.7597851	0.2402149	49.18337
100	11.2406	-20.8532	32.0938	0.1955	0.8045	0.3596668	0.350113	0.246509	0.136161	0.0979654	0.00839818	0.0020571	0.00127829	0	8.2673	1.966416	0.8045	0.1955	92.55843
110	14.0799	-23.3757	37.4555	0.0693489	0.930651	2.120578	0.345056	0.247667	0.138744	0.0960948	0.00846078	0.00209208	0.00126283	0	2.905602	1.862624	0.9306511	0.06934891	72.88256
120	14.1953	-21.2033	35.3987	0.758599	0.241401	2.786993	0.343577	0.249507	0.141334	0.0976708	0.00827212	0.00207085	0.00126386	0	4.962488	1.985435	0.2414009	0.7585991	96.70182
130	14.4818	-21.5928	36.0746	0.599415	0.400585	3.310724	0.343571	0.249092	0.140414	0.0949294	0.00812037	0.00211035	0.00130458	0	4.286546	1.990139	0.4005847	0.5994153	97.75492
140	13.5216	-22.8321	36.3537	0.954577	0.0454232	2.583617	0.350241	0.248239	0.135407	0.0983962	0.00816486	0.00205826	0.00129492	0	4.007445	1.858159	0.04542321	0.9545768	72.13719
150	12.8089	-23.6205	36.4294	0.0587349	0.941265	1.089982	0.356671	0.249507	0.137229	0.0970193	0.00811624	0.00207631	0.00125598	0	3.931765	1.732563	0.9412651	0.05873487	54.02106
160	12.0022	-21.9901	33.9923	0.35649	0.64351	0.7356832	0.346218	0.255398	0.141205	0.0965453	0.00820716	0.00206852	0.00124559	0	6.368872	1.820348	0.6435104	0.3564896	66.12226
170	13.8036	-23.5543	37.3579	0.263359	0.736641	0.9263194	0.346174	0.249582	0.140113	0.0955486	0.00846146	0.00208202	0.00126652	0	3.003212	1.972209	0.7366411	0.2633589	93.80139
180	12.5346	-23.6407	36.1753	0.173949	0.826051	4.97522	0.35621	0.253617	0.141896	0.094966	0.00838408	0.00211188	0.00126207	0	4.185838	1.869506	0.8260506	0.1739494	74.04682
190	13.5673	-22.07	35.6374	0.687204	0.312796	1.665412	0.350911	0.254612	0.142125	0.0966652	0.00813553	0.0020904	0.00125625	0	4.723792	1.901285	0.3127956	0.6872044	79.66827
200	12.6405	-22.8275	35.468	0.635555	0.364445	4.328154	0.357035	0.252123	0.142033	0.0966679	0.00846074	0.00213374	0.00124596	0	4.89316	1.871349	0.3644447	0.6355553	74.36167
210	14.638	-22.5903	37.2283	0.494161	0.505839	2.344167	0.357393	0.249761	0.142434	0.0971273	0.00847359	0.00205825	0.00124628	0	3.132844	1.988145	0.5058393	0.4941607	97.30727
220	13.7193	-22.0102	35.7295	0.638505	0.361495	4.260559	0.358165	0.254348	0.14017	0.0953332	0.00829297	0.00207005	0.00128245	0	4.631658	1.976466	0.3614953	0.6385047	94.72532
230	13.0643	-21.1435	34.2078	0.679827	0.320173	3.336926	0.356834	0.250097	0.141874	0.0948763	0.00820893	0.00207631	0.00130128	0	6.153356	1.924184	0.3201729	0.6798271	83.9815
240	11.098	-24.2527	35.3507	0.753775	0.246225	3.418842	0.349038	0.252576	0.140357	0.0980433	0.00825271	0.00209514	0.00130477	0	5.010493	1.655918	0.2462253	0.7537747	45.28121
250	14.4366	-22.3969	36.8335	0.547985	0.452015	2.194878	0.34463	0.247693	0.137479	0.0992032	0.00827826	0.00208257	0.0012997	0	3.527671	1.956114	0.4520153	0.5479847	90.38868
260	11.6506	-22.5952	34.2458	0.362045	0.637955	0.7039648	0.355254	0.25067	0.139295	0.0986718	0.00837599	0.00205774	0.00130735	0	6.115395	1.726748	0.6379548	0.3620452	53.3026
270	12.8428	-22.8313	35.6741	0.527883	0.472117	0.3557074	0.347458	0.246362	0.140868	0.0957102	0.00824427	0.00212135	0.00126456	0	4.687057	1.919742	0.472117	0.527883	83.12692
280	13.7972	-23.7708	37.5681	0.305721	0.694279	3.195601	0.350995	0.248844	0.139413	0.0960615	0.00825092	0.00215893	0.00127995	0	2.793069	1.854161	0.6942787	0.3057213	71.47616
290	12.1847	-21.7494	33.934	0.956596	0.0434037	4.774394	0.348132	0.254392	0.138801	0.0961548	0.00822374	0.00210132	0.00126429	0	6.427141	1.967452	0.04340367	0.9565963	92.77958
300	14.37	-22.3723	36.7422	0.057458	0.942542	1.703801	0.355771	0.245948	0.13733	0.095481	0.00818918	0.00208747	0.00128149	0	3.618933	1.940933	0.942542	0.05745795	87.28374
310	13.0265	-25.2397	38.2662	0.980731	0.0192695	2.192021	0.35918	0.248059	0.140455	0.0959568	0.00822092	0.00211786	0.00125609	0	2.094928	1.878401	0.01926949	0.9807305	75.57895
320	13.6222	-21.1046	34.7268	0.0955189	0.904481	2.177371	0.353537	0.254648	0.139498	0.0953677	0.00821039	0.00212275	0.00126592	0	5.634372	1.918687	0.9044811	0.09551889	82.92526
330	13.5873	-24.1098	37.6971	0.0090516	0.990948	2.313724	0.350362	0.255237	0.135846	0.0957662	0.00807591	0.00209363	0.00125703	0	2.664016	1.786558	0.9909484	0.009051597	61.17269
340	14.0861	-22.5341	36.6202	0.927724	0.0722759	2.700264	0.355543	0.253871	0.138701	0.0960345	0.00847188	0.00210124	0.00124863	0	3.740927	1.92268	0.07227589	0.9277241	83.69129
350	13.8679	-21.5067	35.3745	0.226046	0.773954	3.710625	0.356694	0.244247	0.13928	0.0977434	0.00808256	0.00214418	0.00126887	0	4.986623	1.956918	0.7739537	0.2260463	90.55609
360	13.447	-24.7002	38.1472	0.308713	0.691287	4.004263	0.356733	0.255078	0.141605	0.096334	0.00841712	0.00207178	0.00129653	0	2.213969	1.87841	0.6912873	0.3087127	75.58048
370	13.9406	-24.0058	37.9464	0.105617	0.894383	1.83523	0.358161	0.251942	0.141301	0.0981931	0.0084451	0.00211063	0.00129707	0	2.414764	1.875717	0.8943829	0.1056171	75.11324
380	10.3524	-27.1131	37.4655	0.287315	0.712685	6.92667	0.359672	0.247068	0.141409	0.0992911	0.0084164	0.00210833	0.00129494	0	2.895662	1.820615	0.7126847	0.2873153	66.16296
390	7.50211	-23.7479	31.25	0.157106	0.842894	4.281834	0.356011	0.242983	0.141269	0.0982576	0.00843307	0.00209083	0.0013087	0	9.11118	1.584681	0.8428943	0.1571057	38.43097
400	13.1594	-22.7622	35.9216	0.982085	0.0179154	2.455775	0.358238	0.245354	0.141798	0.098567	0.00835624	0.002081	0.00129831	0	4.439542	1.820741	0.01791544	0.9820846	66.18218
410	13.3972	-21.292	34.6892	0.762428	0.237572	2.214801	0.349042	0.252943	0.141752	0.0986336	0.00831161	0.00205738	0.00129441	0	5.671951	1.912634	0.2375721	0.7624279	81.77745
420	13.8646	-23.2997	37.1643	0.0245029	0.975497	2.347097	0.35045	0.249282	0.141296	0.0961973	0.00817739	0.00212484	0.00127863	0	3.196841	1.814439	0.9754971	0.02450295	65.22869
430	14.4292	-22.5724	37.0017	0.105677	0.894323	1.595456	0.345118	0.252047	0.142252	0.096495	0.00813988	0.00209274	0.00126044	0	3.359492	1.971253	0.8943231	0.1056769	93.59504
440	12.4459	-23.1428	35.5887	0.93721	0.0627895	1.809269	0.346762	0.253985	0.137899	0.0963281	0.00816926	0.00207887	0.00129319	0	4.772463	1.750744	0.06278955	0.9372105	56.33054
450	14.1554	-22.1794	36.3348	0.510142	0.489858	2.012952	0.355826	0.252269	0.139847	0.0973721	0.00806715	0.0021363	0.00125149	0	4.026355	1.934852	0.4898577	0.5101423	86.07007
460	12.8473	-24.173	37.0202	0.964401	0.0355994	0.8373877	0.359515	0.249156	0.136463	0.0986522	0.00822905	0.00211609	0.0012865	0	3.3409	1.855853	0.03559942	0.9644006	71.75513
470	11.5715	-19.977	31.5484	0.353768	0.646232	2.396646	0.354917	0.254966	0.136459	0.0951057	0.00813173	0.00211485	0.00130785	0	8.812735	1.932711	0.6462321	0.3537679	85.64668
480	12.8383	-23.3718	36.2101	0.738542	0.261458	1.472282	0.346655	0.254536	0.140774	0.0960735	0.00809775	0.00215628	0.00129961	0	4.151086	1.776344	0.2614579	0.7385421	59.75081
490	11.8117	-22.1889	34.0006	0.376008	0.623992	3.262221	0.360063	0.254523	0.138797	0.0958364	0.0082918	0.00212633	0.00126822	0	6.360565	1.772647	0.6239919	0.3760081	59.24441
500	11.0955	-26.9626	38.0581	0.0500362	0.949964	6.544778	0.354362	0.254929	0.14023	0.0984493	0.00824535	0.00208886	0.00125357	0	2.303025	1.817128	0.9499638	0.05003624	65.63384
510	13.384	-23.6239	37.0079	0.890927	0.109073	1.330812	0.354063	0.254142	0.139265	0.0986067	0.00835827	0.00210236	0.00126359	0	3.353291	1.879678	0.1090733	0.8909267	75.80153
520	12.249	-23.7864	36.0354	0.59837	0.40163	1.530376	0.356922	0.252348	0.139553	0.0956348	0.008193	0.00205546	0.00126071	0	4.325716	1.706999	0.4016297	0.5983703	50.93291
530	12.8696	-26.1155	38.9851	0.601222	0.398778	1.918067	0.360132	0.253746	0.135848	0.096478	0.00834991	0.00213247	0.00124758	0	1.376058	1.993225	0.3987782	0.6012218	98.45212
540	13.8118	-22.9121	36.7239	0.902396	0.0976037	2.163063	0.357409	0.25491	0.138655	0.0973923	0.00828474	0.00213579	0.00124912	0	3.637294	1.889815	0.09760366	0.9023963	77.59162
