Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
0	1	8	1	7	6	6	5	5	4	4	1	3	2	2	1	1	1	9	4	18	1	19	1	12	1	1	1	1	1	1
10	2	8	1	7	6	6	5	5	4	4	2	3	2	2	2	1	1	2	5	18	2	19	2	16	2	2	1	2	1	1
20	1	8	2	7	1	6	5	5	4	4	1	3	1	2	2	1	1	9	1	18	1	9	1	1	1	1	1	1	1	1
30	3	8	5	7	5	6	5	5	4	4	1	3	2	2	2	1	1	2	3	18	3	5	3	3	1	3	1	1	1	1
40	1	8	5	7	5	6	5	5	4	4	1	3	1	2	1	1	1	1	5	18	5	5	1	5	1	1	1	1	1	1
50	1	8	1	7	1	6	5	5	4	4	1	3	10	2	1	1	1	10	1	18	1	1	1	1	1	1	1	1	1	1
60	3	8	3	7	3	6	5	5	4	4	1	3	2	2	3	1	1	11	2	18	3	3	3	11	1	3	1	1	1	1
70	3	8	3	7	11	6	5	5	4	4	2	3	1	2	1	1	1	1	3	18	3	11	3	3	2	3	1	2	1	1
80	2	8	2	7	2	6	5	5	4	4	2	3	3	2	3	1	1	3	3	18	3	2	3	3	2	11	1	2	1	1
90	3	8	6	7	6	6	5	5	4	4	2	3	2	2	2	1	1	2	2	18	2	6	3	2	2	3	1	2	1	1
100	10	8	4	7	4	6	18	5	4	4	1	3	3	2	3	1	1	3	1	18	1	4	1	1	1	10	1	1	1	1
110	2	8	6	7	20	6	18	5	4	4	2	3	1	2	1	1	1	1	2	18	2	20	2	2	2	2	1	2	1	1
120	3	8	4	7	4	6	5	5	4	4	2	3	1	2	1	1	1	1	2	18	11	4	3	11	2	3	1	2	1	1
130	1	8	15	7	1	6	18	5	4	4	2	3	3	2	3	1	1	3	5	18	5	15	2	5	9	9	1	9	1	1
140	3	8	4	7	4	6	5	5	4	4	2	3	2	2	2	1	1	2	5	18	5	4	3	5	2	3	1	2	1	1
150	3	8	3	7	3	6	5	5	4	4	1	3	1	2	1	1	1	1	5	18	3	3	3	17	2	3	1	9	1	1
160	1	8	1	7	1	6	5	5	4	4	1	3	3	2	3	1	1	3	5	18	5	1	1	5	1	1	1	1	1	1
170	3	8	5	7	5	6	5	5	4	4	1	3	1	2	2	1	1	9	3	18	3	5	3	3	1	3	1	1	1	1
180	1	8	15	7	5	6	5	5	5	4	2	3	3	2	3	1	1	3	5	5	5	15	1	5	2	1	1	2	1	1
190	2	8	3	7	5	6	5	5	4	4	2	3	3	2	3	1	1	3	2	18	2	17	3	2	2	11	1	2	1	1
200	1	8	4	7	4	6	5	5	4	4	2	3	3	2	3	1	1	3	3	18	2	4	1	11	2	1	1	2	1	1
210	3	8	3	7	3	6	5	5	4	4	1	3	1	2	1	1	1	1	1	18	3	3	3	10	2	3	1	9	1	1
220	1	8	3	7	6	6	5	5	3	4	1	3	1	2	1	1	1	1	2	17	3	21	1	11	1	1	1	1	1	1
230	2	8	2	7	2	6	5	5	4	4	2	3	1	2	1	1	1	1	2	18	2	2	2	2	2	2	1	2	1	1
240	1	8	5	7	17	6	5	5	4	4	1	3	2	2	2	1	1	2	1	18	1	17	1	1	1	1	1	1	1	1
250	1	8	4	7	4	6	5	5	4	4	1	3	2	2	2	1	1	2	5	18	5	4	1	5	1	1	1	1	1	1
260	2	8	2	7	3	6	5	5	4	4	2	3	2	2	2	1	1	2	2	18	3	11	3	11	1	11	1	9	1	1
270	9	8	6	7	6	6	5	5	4	4	1	3	1	2	9	1	1	9	2	18	2	6	2	2	1	9	1	1	1	1
280	1	8	15	7	5	6	5	5	4	4	1	3	1	2	1	1	1	1	10	18	1	15	1	10	1	1	1	1	1	1
290	1	8	1	7	1	6	5	5	18	4	2	3	2	2	9	1	1	9	10	18	3	1	1	10	2	1	1	2	1	1
300	1	8	3	7	2	6	5	5	4	4	2	3	3	2	1	1	1	10	1	18	1	11	1	1	2	1	1	2	1	1
310	3	8	3	7	3	6	5	5	4	4	2	3	2	2	3	1	1	11	3	18	3	3	3	3	2	3	1	2	1	1
320	2	8	15	7	5	6	5	5	18	4	1	3	11	2	3	1	1	11	1	18	1	15	2	1	1	2	1	1	1	1
330	3	8	4	7	6	6	5	5	4	4	9	3	2	2	2	1	1	2	4	18	3	22	3	14	2	3	1	9	1	1
340	1	8	1	7	1	6	5	5	4	4	1	3	1	2	1	1	1	1	5	18	1	1	1	15	1	1	1	1	1	1
350	2	8	6	7	4	6	5	5	18	4	2	3	3	2	3	1	1	3	5	18	5	22	2	5	2	2	1	2	1	1
360	2	8	4	7	2	6	5	5	4	4	2	3	2	2	2	1	1	2	2	18	4	13	2	13	2	2	1	2	1	1
370	1	8	5	7	5	6	5	5	5	4	1	3	3	2	3	1	1	3	1	5	5	5	1	15	2	1	1	9	1	1
380	10	8	1	7	10	6	5	5	4	4	1	3	3	2	1	1	1	10	10	18	1	10	1	10	2	10	1	9	1	1
390	3	8	4	7	4	6	5	5	4	4	2	3	2	2	2	1	1	2	3	18	3	4	3	3	2	3	1	2	1	1
400	3	8	1	7	1	6	5	5	4	4	1	3	2	2	2	1	1	2	1	18	1	1	3	1	1	3	1	1	1	1
410	1	8	3	7	3	6	5	5	4	4	2	3	1	2	1	1	1	1	5	18	15	3	1	15	2	1	1	2	1	1
420	1	8	1	7	1	6	5	5	4	4	1	3	2	2	2	1	1	2	15	18	1	1	1	15	1	1	1	1	1	1
430	2	8	3	7	3	6	5	5	4	4	9	3	2	2	2	1	1	2	1	18	1	3	2	1	1	2	1	9	1	1
440	3	8	4	7	12	6	5	5	4	4	2	3	1	2	1	1	1	1	11	18	2	12	3	11	2	3	1	2	1	1
450	3	8	1	7	1	6	5	5	4	4	1	3	2	2	2	1	1	2	3	18	10	1	3	10	1	3	1	1	1	1
460	1	8	4	7	4	6	5	5	4	4	2	3	1	2	2	1	1	9	5	18	5	4	1	5	2	1	1	2	1	1
470	2	8	11	7	3	6	5	5	18	4	1	3	1	2	1	1	1	1	2	18	9	11	2	9	1	2	1	1	1	1
480	3	8	4	7	5	6	5	5	4	4	2	3	2	2	2	1	1	2	4	18	4	18	3	4	2	3	1	2	1	1
490	1	8	5	7	15	6	5	5	4	4	2	3	1	2	9	1	1	9	1	18	1	15	1	1	2	1	1	2	1	1
500	2	8	4	7	4	6	4	5	4	4	2	3	1	2	1	1	1	1	4	4	1	4	2	12	2	2	1	2	1	1
510	3	8	5	7	5	6	5	5	4	4	1	3	3	2	3	1	1	3	4	18	4	5	3	4	1	3	1	1	1	1
520	3	8	2	7	2	6	5	5	4	4	1	3	1	2	1	1	1	1	2	18	11	2	11	11	1	11	1	1	1	1
530	3	8	6	7	6	6	5	5	4	4	2	3	1	2	1	1	1	1	2	18	2	6	3	2	2	3	1	2	1	1
540	3	8	6	7	6	6	5	5	4	4	1	3	3	2	3	1	1	3	3	18	3	6	3	3	1	3	1	1	1	1
550	1	8	3	7	6	6	5	5	4	4	1	3	1	2	1	1	1	1	1	18	1	21	1	1	1	1	1	1	1	1
560	2	8	4	7	4	6	5	5	4	4	1	3	2	2	2	1	1	2	4	18	4	4	2	4	1	2	1	1	1	1
570	2	8	1	7	2	6	4	5	4	4	1	3	1	2	1	1	1	1	1	4	1	9	3	1	1	11	1	1	1	1
580	2	8	4	7	22	6	5	5	4	4	2	3	1	2	1	1	1	1	2	18	2	22	2	2	2	2	1	2	1	1
590	11	8	2	7	2	6	5	5	18	4	1	3	1	2	1	1	1	1	3	18	3	2	3	3	1	11	1	1	1	1
600	2	8	2	7	2	6	5	5	4	4	2	3	2	2	2	1	1	2	5	18	1	2	1	15	2	9	1	2	1	1
610	1	8	13	7	4	6	5	5	18	4	1	3	1	2	1	1	1	1	4	18	4	13	1	4	1	1	1	1	1	1
620	3	8	3	7	3	6	5	5	4	4	2	3	3	2	3	1	1	3	4	18	3	3	3	14	2	3	1	2	1	1
