Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-57.6721	-84.6956	27.0236	0.38529	0.61471	0.01	0.80778	0.67514	0.498957	0.321542	0.288823	0.0791401	0.00347178	0	0.8863073	-2	0.6147102	0.3852898	0.01
10	0.474172	-24.3748	24.849	0.373628	0.626372	0.01645914	0.808973	0.670917	0.501471	0.324205	0.293201	0.0793973	0.00344661	0	3.060883	1.861029	0.6263717	0.3736283	72.61542
20	-1.40895	-25.8074	24.3985	0.144944	0.855056	0.2941927	0.800066	0.651223	0.496728	0.322373	0.292418	0.0818896	0.00348596	0	3.511408	0.9407828	0.8550562	0.1449438	8.725349
30	1.72494	-21.1454	22.8704	0.0024003	0.9976	1.771019	0.777107	0.648229	0.497058	0.319902	0.290198	0.0795211	0.00344785	0	5.03949	1.947232	0.9975997	0.002400301	88.55895
40	1.57362	-21.1337	22.7073	0.0253343	0.974666	1.692151	0.788752	0.64898	0.493288	0.315932	0.29189	0.0801054	0.00343059	0	5.20253	1.929293	0.9746657	0.02533433	84.97536
50	0.642742	-24.1147	24.7574	0.200682	0.799318	4.171762	0.789313	0.649332	0.488116	0.320189	0.289596	0.0798579	0.00342646	0	3.152449	1.531662	0.7993183	0.2006817	34.01435
60	1.86645	-21.4697	23.3361	0.187732	0.812268	3.098975	0.792212	0.656869	0.489373	0.313364	0.290072	0.0801292	0.00341972	0	4.573771	1.888805	0.8122676	0.1877324	77.41139
70	1.00603	-23.3706	24.3766	0.546877	0.453123	0.6546088	0.78457	0.666471	0.490967	0.310762	0.289181	0.0791934	0.00352442	0	3.533255	1.799573	0.4531233	0.5468767	63.03374
80	1.95177	-22.6527	24.6044	0.0950023	0.904998	4.499511	0.778624	0.66941	0.490779	0.325338	0.286076	0.0813832	0.00354715	0	3.30545	1.857398	0.9049977	0.09500229	72.01078
90	0.521669	-22.6739	23.1955	0.663387	0.336613	2.626564	0.795399	0.675938	0.491539	0.325171	0.291014	0.0812981	0.00355102	0	4.714338	1.586488	0.3366131	0.6633869	38.59115
100	1.10292	-21.4741	22.577	0.867385	0.132615	4.193592	0.791036	0.660854	0.48983	0.316212	0.291439	0.0823991	0.00348451	0	5.332894	1.890686	0.1326149	0.8673851	77.74742
110	0.766404	-24.6274	25.3939	0.33429	0.66571	1.31847	0.789526	0.654809	0.493999	0.313907	0.29296	0.0801703	0.00352105	0	2.516018	1.61983	0.6657095	0.3342905	41.67064
120	1.29947	-24.2232	25.5226	0.70574	0.29426	3.345387	0.773407	0.666074	0.49022	0.312422	0.29009	0.079405	0.0035396	0	2.387228	1.729972	0.29426	0.70574	53.69974
130	2.32048	-21.2847	23.6052	0.0326903	0.96731	3.549396	0.774244	0.663718	0.491477	0.321239	0.286423	0.080667	0.00355699	0	4.304697	1.972544	0.9673097	0.03269032	93.87372
140	1.25282	-21.2029	22.4558	0.518385	0.481615	1.426273	0.781965	0.656936	0.491809	0.315248	0.284383	0.0791435	0.00346322	0	5.454106	1.911514	0.4816152	0.5183848	81.56685
150	1.62177	-21.3069	22.9287	0.960643	0.0393567	2.470611	0.797365	0.659253	0.501779	0.325391	0.288372	0.079607	0.00346304	0	4.981189	1.903532	0.03935668	0.9606433	80.08154
160	2.17542	-23.0809	25.2563	0.119829	0.880171	4.924968	0.770585	0.650755	0.494495	0.32055	0.289247	0.0790775	0.00357019	0	2.653552	1.938133	0.8801711	0.1198289	86.72275
170	-0.172125	-25.578	25.4058	0.640169	0.359831	4.379434	0.782533	0.658924	0.494593	0.314334	0.283756	0.0806109	0.00355057	0	2.504041	1.465232	0.3598315	0.6401685	29.18984
180	-2.88888	-23.3952	20.5064	0.75987	0.24013	6.81288	0.781126	0.663165	0.495781	0.313052	0.283376	0.0830305	0.00347571	0	7.403511	1.844084	0.2401299	0.7598701	69.83679
190	-0.456262	-22.5578	22.1015	0.802586	0.197414	4.583407	0.807476	0.662545	0.49918	0.312287	0.282035	0.083031	0.0034662	0	5.808371	1.675997	0.197414	0.802586	47.42383
200	1.68491	-21.7901	23.4751	0.594252	0.405748	1.821029	0.80994	0.645917	0.500118	0.320687	0.28538	0.0830572	0.0034195	0	4.434817	1.887328	0.405748	0.594252	77.14866
210	1.22111	-20.3707	21.5918	0.326011	0.673989	2.471281	0.809314	0.654814	0.500914	0.317687	0.284994	0.0829769	0.00352375	0	6.318095	1.977398	0.6739885	0.3260115	94.92874
220	-0.419199	-20.837	20.4178	0.932704	0.0672955	2.621856	0.803239	0.64495	0.508059	0.311022	0.281965	0.0813798	0.00340685	0	7.492075	1.760535	0.0672955	0.9327045	57.61488
