Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
0	1	8	1	7	4	6	5	5	4	4	3	3	2	2	1	1	2	11	1	9	12	18	1	12	1	1	1	1	1	1
10	11	8	3	7	14	6	18	5	4	4	6	3	20	2	3	1	3	20	1	3	3	18	1	14	1	11	1	1	1	1
20	4	8	4	7	4	6	3	5	3	4	2	3	2	2	3	1	3	2	1	3	4	3	2	4	2	4	1	2	1	1
30	3	8	3	7	4	6	1	5	12	4	2	3	2	2	3	1	3	2	1	3	4	12	2	4	2	3	1	2	1	1
40	2	8	2	7	4	6	3	5	3	4	3	3	10	2	3	1	3	10	1	3	4	3	1	4	1	2	1	1	1	1
50	2	8	2	7	2	6	5	5	18	4	5	3	2	2	10	1	1	16	1	10	2	18	2	2	2	2	1	2	1	1
60	2	8	2	7	5	6	5	5	6	4	7	3	5	2	1	1	1	28	1	1	2	23	1	16	1	2	1	1	1	1
70	4	8	3	7	2	6	2	5	2	4	3	3	2	2	3	1	3	11	1	3	2	2	1	2	1	14	1	1	1	1
80	4	8	4	7	3	6	4	5	4	4	3	3	3	2	2	1	2	3	1	2	2	4	2	11	2	4	1	2	1	1
90	3	8	3	7	4	6	2	5	1	4	3	3	3	2	2	1	2	3	1	2	4	9	2	4	2	3	1	2	1	1
100	4	8	4	7	4	6	4	5	4	4	4	3	13	2	1	1	1	13	1	1	4	4	2	4	9	4	1	9	1	1
110	4	8	4	7	3	6	4	5	4	4	4	3	4	2	1	1	1	4	1	1	3	4	2	3	2	4	1	2	1	1
120	2	8	2	7	1	6	5	5	5	4	3	3	11	2	3	1	3	11	1	3	9	5	1	9	1	2	1	1	1	1
130	3	8	3	7	14	6	14	5	4	4	2	3	2	2	10	1	3	2	1	10	3	14	2	14	2	3	1	2	1	1
140	2	8	2	7	1	6	1	5	4	4	5	3	5	2	2	1	2	5	1	2	1	12	2	1	2	2	1	2	1	1
150	1	8	1	7	2	6	6	5	6	4	7	3	2	2	9	1	1	25	1	9	2	6	2	2	2	1	1	2	1	1
160	1	8	1	7	5	6	2	5	2	4	6	3	29	2	1	1	1	29	1	1	5	2	2	5	2	1	1	2	1	1
170	1	8	4	7	5	6	1	5	1	4	6	3	6	2	2	1	2	6	1	2	5	1	2	5	1	12	1	9	1	1
180	2	8	2	7	1	6	1	5	10	4	2	3	2	2	2	1	2	2	1	2	1	10	1	1	1	2	1	1	1	1
190	12	8	4	7	5	6	22	5	4	4	3	3	14	2	10	1	3	14	1	10	5	22	2	5	2	12	1	2	1	1
200	4	8	4	7	3	6	3	5	3	4	21	3	3	2	2	1	1	21	1	9	3	3	2	3	2	4	1	2	1	1
210	2	8	2	7	5	6	5	5	5	4	11	3	3	2	3	1	2	11	1	11	2	5	2	16	2	2	1	2	1	1
220	4	8	3	7	3	6	19	5	1	4	2	3	2	2	9	1	2	2	1	9	4	19	2	14	2	14	1	2	1	1
230	1	8	1	7	4	6	6	5	3	4	3	3	6	2	2	1	1	21	1	9	3	21	2	14	2	1	1	2	1	1
240	4	8	4	7	4	6	5	5	3	4	3	3	3	2	1	1	1	3	1	1	4	17	2	4	2	4	1	2	1	1
250	2	8	2	7	15	6	5	5	5	4	4	3	2	2	1	1	1	13	1	1	1	5	2	15	2	2	1	2	1	1
260	13	8	2	7	3	6	5	5	18	4	11	3	2	2	1	1	1	11	1	1	3	18	2	3	2	13	1	2	1	1
270	1	8	1	7	2	6	2	5	1	4	4	3	5	2	3	1	1	18	1	10	2	9	2	2	2	1	1	2	1	1
280	2	8	2	7	5	6	19	5	6	4	3	3	2	2	1	1	2	11	1	9	1	19	2	15	2	2	1	2	1	1
290	3	8	3	7	14	6	5	5	5	4	2	3	2	2	1	1	2	2	1	9	4	5	2	14	2	3	1	2	1	1
300	1	8	1	7	5	6	3	5	3	4	11	3	2	2	1	1	1	11	1	1	5	3	2	5	2	1	1	2	1	1
310	2	8	2	7	3	6	5	5	15	4	25	3	2	2	3	1	3	25	1	3	3	15	1	3	1	2	1	1	1	1
320	4	8	4	7	4	6	4	5	4	4	3	3	6	2	1	1	1	21	1	1	1	4	2	12	2	4	1	2	1	1
330	3	8	3	7	1	6	1	5	1	4	5	3	5	2	1	1	1	5	1	1	1	1	1	1	1	3	1	1	1	1
340	1	8	1	7	5	6	5	5	5	4	1	3	9	2	2	1	2	9	1	2	5	5	2	5	2	1	1	2	1	1
350	3	8	3	7	14	6	2	5	2	4	3	3	6	2	2	1	2	21	1	2	3	2	1	14	1	3	1	1	1	1
