Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-59.798	-91.785	31.9871	0.545475	0.454525	0.01	0.717698	0.1886	0.159298	0.103697	0.077651	0.0477071	0.00627217	0	0.8480865	-2	0.4545253	0.5454747	0.01
10	2.64269	-25.3499	27.9926	0.724512	0.275488	0.0139141	0.701963	0.191767	0.152736	0.102904	0.0774401	0.0464274	0.00615181	0	4.842522	0.8522397	0.2754878	0.7245122	7.116061
20	5.5945	-24.5179	30.1124	0.753664	0.246336	0.04845945	0.697597	0.18733	0.154937	0.103254	0.0760534	0.0472259	0.00616263	0	2.72279	1.833349	0.2463355	0.7536645	68.13164
30	5.9002	-22.2233	28.1235	0.289626	0.710374	0.006808549	0.707029	0.186567	0.157179	0.105895	0.0773952	0.0477285	0.00611711	0	4.711648	1.953169	0.710374	0.289626	89.77771
40	5.92354	-22.7294	28.6529	0.879558	0.120442	0.06362519	0.730776	0.187175	0.158773	0.103382	0.0754032	0.0463261	0.00605543	0	4.182214	1.810794	0.1204417	0.8795583	64.68355
50	2.97833	-22.222	25.2003	0.495946	0.504054	0.1197082	0.713622	0.189595	0.159466	0.106064	0.0753915	0.0473843	0.00628619	0	7.634809	1.125893	0.5040544	0.4959456	13.36265
60	5.02797	-21.5196	26.5476	0.340004	0.659996	0.9159666	0.704811	0.195836	0.154489	0.103441	0.0754528	0.0455581	0.0061153	0	6.287589	1.377669	0.6599957	0.3400043	23.85989
70	5.74332	-20.2423	25.9856	0.757543	0.242457	1.588821	0.711482	0.195743	0.157554	0.103387	0.0753886	0.0456606	0.00617821	0	6.849558	1.693723	0.2424571	0.7575429	49.39951
80	5.76587	-21.6732	27.4391	0.2012	0.7988	1.852689	0.712147	0.192543	0.159277	0.102469	0.0762317	0.047382	0.00631094	0	5.396074	1.396534	0.7988	0.2012	24.91922
90	4.58231	-26.1323	30.7146	0.725665	0.274335	0.1045728	0.708257	0.187332	0.159311	0.104147	0.0769089	0.0473343	0.00617022	0	2.120583	1.549424	0.2743345	0.7256655	35.43432
100	5.30941	-24.4145	29.7239	0.686776	0.313224	0.2133427	0.721907	0.194094	0.157997	0.105578	0.07563	0.0472453	0.00633656	0	3.111209	1.443821	0.3132241	0.6867759	27.78568
110	6.97798	-21.4528	28.4308	0.837389	0.162611	0.9314761	0.729598	0.190343	0.157349	0.105716	0.0751086	0.0468861	0.00628009	0	4.40436	1.888952	0.1626106	0.8373894	77.43756
120	6.51652	-21.0591	27.5756	0.700158	0.299842	1.070847	0.710914	0.188951	0.15699	0.105865	0.0757795	0.0465688	0.00628866	0	5.259551	1.728086	0.2998418	0.7001582	53.46703
130	4.61385	-26.3514	30.9653	0.971193	0.0288073	1.930935	0.699118	0.187384	0.158087	0.103572	0.0779518	0.0475765	0.00631247	0	1.869881	1.294337	0.0288073	0.9711927	19.69413
140	6.69375	-22.4164	29.1102	0.642521	0.357479	2.280876	0.705607	0.186354	0.154843	0.101976	0.0776698	0.0459817	0.00606309	0	3.724993	1.541431	0.3574786	0.6425214	34.78812
150	6.64976	-24.0506	30.7003	0.175958	0.824042	4.125774	0.714037	0.189729	0.159757	0.102893	0.0776403	0.0472841	0.00610285	0	2.134834	1.661023	0.8240421	0.1759579	45.81658
160	6.36365	-23.44	29.8037	0.77739	0.22261	4.779614	0.699961	0.188204	0.156802	0.10371	0.078552	0.0470758	0.00616305	0	3.031456	1.69208	0.2226102	0.7773898	49.21302
170	7.86704	-21.2584	29.1255	0.524648	0.475352	2.859328	0.726152	0.190344	0.159347	0.105006	0.0774327	0.047463	0.00623734	0	3.709666	1.953562	0.4753519	0.5246481	89.85912
180	6.90243	-21.294	28.1964	0.442026	0.557974	0.9918769	0.711911	0.190958	0.159278	0.105448	0.0763985	0.0464446	0.00619714	0	4.638709	1.846249	0.5579735	0.4420265	70.18576
190	7.23753	-23.3029	30.5405	0.716407	0.283593	3.650126	0.711959	0.191367	0.158037	0.105507	0.0771649	0.0470706	0.00607633	0	2.29469	1.825044	0.2835932	0.7164068	66.84118
200	6.57673	-22.1873	28.764	0.605823	0.394177	4.359332	0.723137	0.187267	0.156186	0.106566	0.0788569	0.0454191	0.00614003	0	4.071166	1.761923	0.3941774	0.6058226	57.7994
210	5.77738	-24.9262	30.7036	0.465641	0.534359	3.336753	0.719997	0.187818	0.153114	0.103191	0.0751163	0.0462147	0.00605139	0	2.131539	1.442914	0.5343592	0.4656408	27.72773
220	6.6682	-20.8541	27.5223	0.0431057	0.956894	3.4457	0.703464	0.190631	0.154553	0.104207	0.0765377	0.0455607	0.00612293	0	5.312808	1.852615	0.9568943	0.04310567	71.22209
230	7.44718	-23.2863	30.7335	0.161241	0.838759	3.557499	0.70883	0.192918	0.152197	0.104562	0.0780379	0.0458676	0.00609127	0	2.101655	1.892059	0.8387593	0.1612407	77.99361
240	7.3723	-21.7617	29.1339	0.803485	0.196515	2.171247	0.707648	0.187021	0.158785	0.104401	0.0774648	0.0465397	0.00607564	0	3.701206	1.74953	0.1965152	0.8034848	56.17329
250	6.0953	-24.2856	30.3809	0.492421	0.507579	2.642432	0.695811	0.187278	0.15773	0.104812	0.0776117	0.0472363	0.00608037	0	2.454298	1.413302	0.5075787	0.4924213	25.90012
260	7.60251	-22.286	29.8885	0.23777	0.76223	1.475874	0.705812	0.187352	0.154103	0.106641	0.0774033	0.0470261	0.00605999	0	2.946607	1.962413	0.7622305	0.2377695	91.70925
270	7.11802	-23.3443	30.4624	0.949937	0.0500626	4.443997	0.697619	0.192946	0.152451	0.105602	0.0765031	0.0466049	0.00624873	0	2.372797	1.884003	0.05006258	0.9499374	76.56022
280	7.44536	-20.9388	28.3842	0.353939	0.646061	3.021361	0.705704	0.195618	0.155738	0.105063	0.0769252	0.0461038	0.00620832	0	4.45097	1.904903	0.6460608	0.3539392	80.3347
290	6.06617	-19.9326	25.9988	0.91644	0.0835604	2.974133	0.702985	0.191804	0.155342	0.102354	0.0764223	0.0455074	0.00609512	0	6.836372	1.932286	0.08356042	0.9164396	85.56292
300	5.47292	-20.0497	25.5226	0.470292	0.529708	0.8324051	0.704346	0.187617	0.153711	0.102949	0.0764081	0.0461022	0.00623982	0	7.312508	1.946504	0.5297082	0.4702918	88.41058
310	5.87058	-21.1977	27.0683	0.939861	0.0601392	0.6957604	0.70439	0.186454	0.152575	0.102604	0.0779728	0.0457389	0.00606733	0	5.766865	1.663389	0.06013923	0.9398608	46.06688
320	4.1482	-24.5009	28.6491	0.390572	0.609428	7.641219	0.697099	0.186431	0.156709	0.106437	0.0772353	0.0467302	0.00623991	0	4.186089	1.874411	0.6094277	0.3905723	74.8878
