Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-59.4736	-83.0415	23.5679	0.926236	0.0737636	0.01	0.599323	0.465794	0.44867	0.235081	0.141913	0.120241	0.0427175	0	3.140725	-2	0.07376361	0.9262364	0.01
10	-0.800717	-21.2042	20.4035	0.516245	0.483755	0.01268858	0.591473	0.466226	0.450947	0.234687	0.143805	0.122035	0.0431245	0	6.30515	1.659093	0.4837549	0.5162451	45.61342
20	-0.603541	-21.0408	20.4373	0.0150047	0.984995	0.1873148	0.586664	0.46012	0.454786	0.237807	0.145091	0.121662	0.0424201	0	6.271305	1.865769	0.9849953	0.01500471	73.41235
30	3.76124	-19.7455	23.5068	0.479084	0.520916	6.142193	0.608227	0.466303	0.465041	0.235535	0.144094	0.121264	0.0424543	0	3.201822	1.972259	0.520916	0.479084	93.81223
40	3.18203	-19.1902	22.3723	0.966195	0.0338045	4.83952	0.606932	0.457616	0.463083	0.237367	0.147609	0.118985	0.0427875	0	4.336338	1.826366	0.03380453	0.9661955	67.04497
50	3.4382	-21.5279	24.9661	0.479238	0.520762	7.873041	0.594959	0.459898	0.464436	0.232566	0.144759	0.117701	0.0436976	0	1.742501	1.94375	0.5207621	0.4792379	87.8516
60	1.95623	-18.7292	20.6855	0.966926	0.0330738	4.98385	0.602518	0.465776	0.454887	0.228819	0.142422	0.117297	0.0432062	0	6.023136	1.733416	0.03307376	0.9669262	54.12725
70	3.9166	-20.2326	24.1492	0.0396382	0.960362	6.354729	0.611281	0.461388	0.460804	0.233689	0.143785	0.117409	0.0430737	0	2.559455	1.818197	0.9603618	0.03963815	65.79557
80	1.8486	-20.4992	22.3478	0.319813	0.680187	8.11947	0.601783	0.479411	0.455405	0.237384	0.147546	0.118389	0.0436698	0	4.360786	1.902652	0.6801865	0.3198135	79.91933
90	3.44531	-19.4583	22.9036	0.0909546	0.909045	4.733815	0.584945	0.471022	0.463463	0.237476	0.148046	0.119252	0.0426324	0	3.804967	1.712816	0.9090454	0.09095457	51.6198
100	3.35416	-19.4423	22.7964	0.111257	0.888743	4.747575	0.594013	0.465389	0.466345	0.236212	0.147515	0.123024	0.0432585	0	3.912195	1.642235	0.8887433	0.1112567	43.87677
110	2.93886	-21.7547	24.6936	0.508439	0.491561	3.103819	0.590301	0.462234	0.461888	0.232868	0.144482	0.123183	0.042339	0	2.015029	1.924479	0.4915609	0.5084391	84.03871
120	3.46074	-19.3979	22.8586	0.0471555	0.952845	4.877182	0.589651	0.459976	0.45259	0.230359	0.145764	0.121299	0.0431237	0	3.849994	1.775952	0.9528445	0.04715548	59.69693
130	3.61994	-20.8514	24.4714	0.303319	0.696681	3.990424	0.588619	0.467155	0.449961	0.228471	0.147296	0.121199	0.0422541	0	2.237255	1.870328	0.6966805	0.3033195	74.18706
140	3.81279	-19.9114	23.7242	0.494509	0.505491	5.970422	0.587762	0.460751	0.464386	0.227303	0.143953	0.122281	0.0428427	0	2.984375	1.76555	0.5054915	0.4945085	58.28415
150	1.28607	-22.1456	23.4317	0.0276991	0.972301	7.348012	0.585194	0.474878	0.465409	0.234065	0.142917	0.117556	0.0422639	0	3.276957	1.2971	0.9723009	0.02769908	19.81983
160	3.59711	-20.2915	23.8887	0.357285	0.642715	3.940962	0.604865	0.466869	0.44618	0.231154	0.143563	0.119918	0.0444192	0	2.819954	1.814106	0.642715	0.357285	65.17879
170	4.04344	-20.0363	24.0798	0.187957	0.812043	5.921777	0.594002	0.466341	0.451402	0.236446	0.147986	0.122122	0.0439458	0	2.628862	1.985281	0.8120428	0.1879572	96.6676
180	1.31801	-19.5665	20.8845	0.601868	0.398132	7.199828	0.593988	0.47882	0.448456	0.236332	0.14769	0.120085	0.0432479	0	5.82408	1.978975	0.3981319	0.6018681	95.27418
190	3.07466	-21.0165	24.0912	0.310047	0.689953	4.907894	0.610878	0.47576	0.459083	0.228157	0.144553	0.119851	0.0440856	0	2.617438	1.322616	0.6899534	0.3100466	21.01921
200	1.53316	-19.9664	21.4996	0.281298	0.718702	7.361743	0.610817	0.470175	0.466517	0.236298	0.145971	0.120462	0.043201	0	5.209027	1.61275	0.7187022	0.2812978	40.99684
210	2.94647	-20.3342	23.2807	0.171108	0.828892	5.999954	0.600613	0.479002	0.462577	0.233589	0.144754	0.121168	0.0442349	0	3.427942	1.416347	0.8288921	0.1711079	26.08235
220	3.39269	-19.8282	23.2209	0.933312	0.0666881	4.673166	0.593689	0.480837	0.466539	0.228867	0.147865	0.118799	0.0424751	0	3.487736	1.510982	0.06668807	0.9333119	32.43259
230	3.41129	-21.1918	24.6031	0.726423	0.273577	6.750951	0.61029	0.458769	0.449013	0.236945	0.147782	0.122826	0.0424781	0	2.105486	1.603583	0.2735766	0.7264234	40.14056
240	1.50451	-21.6169	23.1214	0.592203	0.407797	1.286063	0.609256	0.467931	0.45891	0.234899	0.146042	0.117865	0.0426431	0	3.587207	1.7098	0.4077971	0.5922029	51.26248
250	-3.90534	-25.7503	21.8449	0.507457	0.492543	1.620728	0.611791	0.467664	0.451394	0.23144	0.141888	0.11727	0.0426268	0	4.863697	0.3029061	0.4925435	0.5074565	2.008658
260	1.47931	-20.2472	21.7265	0.32249	0.67751	2.099854	0.584138	0.465044	0.452275	0.228432	0.141773	0.117191	0.0427805	0	4.982096	1.179699	0.6775097	0.3224903	15.12512
270	3.76288	-19.9085	23.6714	0.51034	0.48966	6.130129	0.586707	0.463529	0.446572	0.232225	0.143293	0.118868	0.0432234	0	3.037258	1.770549	0.48966	0.51034	58.95888
280	3.81647	-19.7416	23.5581	0.583409	0.416591	5.110347	0.586601	0.47811	0.449753	0.236672	0.141836	0.117776	0.0444145	0	3.150507	1.788344	0.4165908	0.5834092	61.42488
290	3.62978	-20.6507	24.2805	0.0985418	0.901458	6.464446	0.58369	0.46618	0.45341	0.231415	0.143868	0.120702	0.0430089	0	2.428161	1.629661	0.9014582	0.09854179	42.6247
300	2.70888	-19.8233	22.5321	0.458872	0.541128	3.105192	0.600568	0.472569	0.449035	0.227142	0.145125	0.122148	0.042322	0	4.176485	1.651291	0.5411279	0.4588721	44.80134
310	0.71135	-20.2949	21.0062	0.648802	0.351198	5.165297	0.611051	0.474201	0.459002	0.226571	0.148462	0.121517	0.0429	0	5.702397	1.119545	0.3511983	0.6488017	13.16877
320	0.224119	-21.3396	21.5638	0.085657	0.914343	0.7726275	0.60009	0.481018	0.467099	0.238143	0.141602	0.121591	0.0423749	0	5.144844	0.9673312	0.914343	0.08565695	9.275369
330	0.692561	-20.3747	21.0673	0.883724	0.116276	6.964749	0.605971	0.476497	0.462583	0.236202	0.143506	0.118993	0.0427058	0	5.641361	1.365464	0.1162762	0.8837238	23.19872
