Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
0	1	8	1	7	6	6	5	5	4	4	1	3	2	2	1	1	1	9	1	23	1	12	1	1	1	1	1	1	1	1
10	5	8	15	7	6	6	5	5	3	4	1	3	4	2	13	1	1	13	11	23	3	11	10	15	9	10	1	9	1	1
20	5	8	5	7	5	6	5	5	2	4	1	3	3	2	3	1	1	3	2	5	1	2	1	5	1	1	1	1	1	1
30	3	8	10	7	5	6	5	5	2	4	2	3	18	2	4	1	1	18	2	5	1	2	1	10	2	1	1	2	1	1
40	3	8	3	7	5	6	5	5	4	4	1	3	2	2	2	1	1	2	4	5	2	4	2	3	1	2	1	1	1	1
50	3	8	3	7	6	6	23	5	4	4	2	3	3	2	3	1	1	3	3	23	2	14	2	3	2	2	1	2	1	1
60	4	8	4	7	6	6	23	5	1	4	9	3	4	2	4	1	1	4	1	23	2	1	2	4	2	2	1	9	1	1
70	1	8	1	7	6	6	5	5	2	4	1	3	4	2	4	1	1	4	2	23	1	2	1	1	1	1	1	1	1	1
80	2	8	1	7	6	6	5	5	4	4	1	3	1	2	1	1	1	1	4	23	1	4	3	9	2	10	1	9	1	1
90	3	8	2	7	6	6	5	5	4	4	1	3	4	2	4	1	1	4	4	23	2	4	2	11	1	2	1	1	1	1
100	9	8	1	7	6	6	5	5	2	4	1	3	1	2	1	1	1	1	9	23	3	9	10	9	1	10	1	1	1	1
110	4	8	4	7	6	6	5	5	3	4	2	3	4	2	12	1	1	12	3	23	2	3	2	4	9	2	1	9	1	1
120	2	8	2	7	5	6	5	5	4	4	1	3	1	2	1	1	1	1	4	5	2	4	2	2	1	2	1	1	1	1
130	4	8	14	7	6	6	23	5	2	4	1	3	2	2	2	1	1	2	2	23	1	2	9	14	1	9	1	1	1	1
140	2	8	2	7	6	6	5	5	4	4	2	3	3	2	3	1	1	3	4	23	2	4	2	2	2	2	1	2	1	1
150	5	8	4	7	6	6	5	5	4	4	1	3	3	2	17	1	1	17	4	23	1	4	1	18	1	1	1	1	1	1
160	1	8	1	7	5	6	5	5	1	4	1	3	14	2	4	1	1	14	1	5	2	1	2	1	1	2	1	1	1	1
170	4	8	4	7	6	6	5	5	2	4	2	3	4	2	1	1	1	12	2	23	2	2	2	4	2	2	1	2	1	1
180	1	8	9	7	5	6	5	5	1	4	1	3	2	2	2	1	1	2	9	5	9	9	1	9	1	9	1	1	1	1
190	4	8	4	7	6	6	6	5	3	4	2	3	1	2	1	1	1	1	14	6	1	14	1	4	2	1	1	2	1	1
200	5	8	5	7	23	6	5	5	1	4	2	3	4	2	4	1	1	4	1	23	2	1	2	5	2	2	1	2	1	1
210	1	8	1	7	6	6	23	5	4	4	2	3	5	2	18	1	1	18	4	23	9	4	1	1	2	9	1	2	1	1
220	4	8	4	7	23	6	5	5	14	4	2	3	5	2	5	1	1	5	4	23	2	14	2	4	2	2	1	2	1	1
230	2	8	2	7	6	6	5	5	2	4	2	3	3	2	3	1	1	3	2	23	1	2	1	2	1	1	1	9	1	1
240	3	8	3	7	6	6	5	5	2	4	2	3	5	2	5	1	1	5	2	23	2	2	2	3	2	2	1	2	1	1
250	4	8	5	7	6	6	5	5	2	4	1	3	9	2	2	1	1	9	2	23	9	2	2	18	1	9	1	1	1	1
260	3	8	5	7	23	6	5	5	4	4	2	3	5	2	5	1	1	5	4	23	2	4	2	17	1	2	1	9	1	1
270	2	8	2	7	6	6	5	5	1	4	2	3	3	2	3	1	1	3	2	23	1	9	1	2	2	1	1	2	1	1
280	3	8	3	7	6	6	5	5	2	4	2	3	4	2	5	1	1	18	2	23	1	2	3	3	2	10	1	2	1	1
290	5	8	5	7	6	6	23	5	2	4	1	3	3	2	3	1	1	3	2	23	1	2	9	5	1	9	1	1	1	1
300	1	8	2	7	6	6	5	5	3	4	2	3	5	2	15	1	1	15	3	23	2	3	2	9	2	2	1	2	1	1
310	23	8	6	7	5	6	5	5	3	4	2	3	4	2	13	1	1	13	3	5	1	3	1	23	2	1	1	2	1	1
320	4	8	4	7	6	6	5	5	1	4	2	3	1	2	1	1	1	1	1	23	1	1	1	4	2	1	1	2	1	1
330	5	8	5	7	6	6	5	5	4	4	9	3	11	2	2	1	1	11	4	23	2	4	2	5	2	2	1	9	1	1
340	2	8	6	7	6	6	5	5	1	4	2	3	4	2	1	1	1	12	4	23	1	12	2	20	2	9	1	2	1	1
350	3	8	5	7	6	6	5	5	1	4	1	3	5	2	17	1	1	17	1	23	2	1	1	17	1	9	1	1	1	1
360	1	8	1	7	6	6	5	5	4	4	1	3	4	2	4	1	1	4	4	23	1	4	1	1	1	1	1	1	1	1
370	3	8	3	7	6	6	5	5	2	4	2	3	3	2	3	1	1	3	2	23	1	2	1	3	2	1	1	2	1	1
380	4	8	4	7	5	6	5	5	1	4	1	3	3	2	3	1	1	3	2	5	1	9	2	4	1	9	1	1	1	1
390	4	8	13	7	6	6	5	5	3	4	2	3	5	2	4	1	1	18	3	23	2	3	2	13	2	2	1	2	1	1
400	4	8	4	7	6	6	5	5	3	4	1	3	4	2	5	1	1	18	3	23	1	3	1	4	1	1	1	1	1	1
410	1	8	1	7	6	6	1	5	3	4	1	3	2	2	2	1	1	2	3	19	2	3	9	1	1	9	1	1	1	1
420	14	8	4	7	6	6	5	5	4	4	1	3	4	2	4	1	1	4	4	23	1	4	1	14	1	1	1	1	1	1
430	5	8	3	7	6	6	5	5	4	4	2	3	3	2	1	1	1	10	2	23	3	13	2	17	2	11	1	2	1	1
440	1	8	1	7	6	6	5	5	1	4	2	3	12	2	1	1	1	12	1	23	1	1	2	1	2	9	1	2	1	1
450	4	8	4	7	6	6	5	5	3	4	1	3	1	2	1	1	1	1	3	23	1	3	1	4	2	1	1	9	1	1
460	5	8	5	7	6	6	5	5	3	4	2	3	3	2	3	1	1	3	3	23	2	3	2	5	2	2	1	2	1	1
470	5	8	5	7	6	6	5	5	2	4	1	3	12	2	1	1	1	12	2	23	2	2	2	5	9	2	1	9	1	1
480	3	8	3	7	6	6	5	5	3	4	1	3	2	2	2	1	1	2	3	23	3	3	10	3	1	10	1	1	1	1
490	5	8	5	7	6	6	5	5	3	4	2	3	2	2	2	1	1	2	3	23	2	3	2	5	2	2	1	2	1	1
500	1	8	1	7	6	6	5	5	2	4	1	3	1	2	1	1	1	1	2	23	1	2	1	1	1	1	1	1	1	1
510	4	8	4	7	23	6	5	5	3	4	1	3	2	2	2	1	1	2	2	23	1	11	1	4	1	1	1	1	1	1
520	2	8	2	7	6	6	23	5	4	4	2	3	3	2	3	1	1	3	4	23	1	4	2	2	2	9	1	2	1	1
530	4	8	3	7	6	6	5	5	4	4	2	3	4	2	4	1	1	4	2	23	3	13	3	14	2	3	1	2	1	1
540	2	8	2	7	6	6	5	5	14	4	1	3	2	2	2	1	1	2	3	23	1	14	1	2	1	1	1	1	1	1
550	1	8	1	7	6	6	5	5	2	4	2	3	5	2	5	1	1	5	4	23	2	13	2	1	1	2	1	9	1	1
560	5	8	4	7	6	6	5	5	2	4	2	3	2	2	2	1	1	2	2	23	2	2	2	18	2	2	1	2	1	1
570	1	8	1	7	6	6	5	5	11	4	1	3	1	2	1	1	1	1	3	23	1	11	1	1	1	1	1	1	1	1
580	18	8	4	7	6	6	5	5	1	4	2	3	18	2	5	1	1	18	1	23	1	1	1	18	2	1	1	2	1	1
590	4	8	4	7	6	6	5	5	4	4	2	3	5	2	5	1	1	5	4	23	2	4	2	4	2	2	1	2	1	1
600	5	8	5	7	6	6	5	5	2	4	1	3	3	2	3	1	1	3	2	23	2	2	2	5	1	2	1	1	1	1
610	1	8	2	7	6	6	5	5	3	4	2	3	4	2	5	1	1	18	3	23	1	3	2	9	2	9	1	2	1	1
620	1	8	3	7	5	6	5	5	1	4	2	3	4	2	4	1	1	4	1	5	1	1	2	10	2	9	1	2	1	1
630	5	8	16	7	6	6	5	5	2	4	2	3	4	2	4	1	1	4	9	23	2	9	2	16	1	2	1	9	1	1
640	1	8	1	7	6	6	5	5	4	4	1	3	2	2	2	1	1	2	12	23	2	12	2	1	2	2	1	9	1	1
650	4	8	5	7	5	6	5	5	3	4	1	3	4	2	4	1	1	4	3	5	2	3	2	18	1	2	1	1	1	1
660	5	8	5	7	5	6	5	5	3	4	9	3	4	2	3	1	1	14	3	5	1	3	1	5	1	1	1	9	1	1
670	4	8	2	7	6	6	5	5	2	4	1	3	4	2	4	1	1	4	2	23	2	2	9	13	1	9	1	1	1	1
680	13	8	4	7	6	6	5	5	4	4	1	3	18	2	4	1	1	18	4	23	1	4	1	13	1	1	1	1	1	1
690	5	8	5	7	6	6	5	5	2	4	9	3	2	2	2	1	1	2	2	23	2	2	2	5	2	2	1	9	1	1
700	5	8	5	7	6	6	23	5	14	4	2	3	2	2	2	1	1	2	4	23	2	14	2	5	2	2	1	2	1	1
710	1	8	1	7	23	6	5	5	11	4	1	3	5	2	16	1	1	16	3	23	1	11	1	1	1	1	1	1	1	1
720	2	8	2	7	6	6	23	5	1	4	9	3	3	2	3	1	1	3	1	23	2	1	2	2	2	2	1	9	1	1
730	9	8	2	7	23	6	5	5	3	4	1	3	9	2	2	1	1	9	3	23	2	3	2	9	1	2	1	1	1	1
740	5	8	5	7	3	6	5	5	2	4	1	3	3	2	3	1	1	3	3	17	1	11	1	5	1	1	1	1	1	1
750	3	8	1	7	6	6	5	5	2	4	1	3	5	2	4	1	1	18	2	23	1	2	1	10	1	1	1	1	1	1
760	1	8	1	7	7	6	5	5	1	4	2	3	1	2	10	1	1	10	1	28	2	1	2	1	2	2	1	2	1	1
770	5	8	3	7	6	6	5	5	2	4	9	3	4	2	4	1	1	4	2	23	2	2	2	17	2	2	1	9	1	1
780	5	8	5	7	6	6	5	5	2	4	2	3	1	2	1	1	1	1	2	23	2	2	2	5	2	2	1	2	1	1
790	4	8	4	7	6	6	5	5	1	4	2	3	5	2	2	1	1	16	1	23	2	1	2	4	2	2	1	2	1	1
800	3	8	3	7	6	6	5	5	1	4	1	3	4	2	3	1	1	14	1	23	1	1	1	3	1	1	1	1	1	1
810	3	8	3	7	6	6	5	5	4	4	1	3	13	2	2	1	1	13	4	23	1	4	2	3	1	9	1	1	1	1
820	5	8	5	7	6	6	5	5	1	4	2	3	5	2	5	1	1	5	1	23	3	1	3	5	2	3	1	2	1	1
830	3	8	3	7	6	6	5	5	1	4	1	3	5	2	5	1	1	5	1	23	3	1	1	3	1	10	1	1	1	1
840	4	8	4	7	6	6	5	5	2	4	1	3	2	2	2	1	1	2	2	23	2	2	2	4	1	2	1	1	1	1
850	2	8	2	7	6	6	6	5	1	4	1	3	3	2	3	1	1	3	1	6	2	1	3	2	1	11	1	1	1	1
860	3	8	5	7	6	6	5	5	4	4	2	3	4	2	4	1	1	4	3	23	2	14	2	17	2	2	1	2	1	1
870	5	8	3	7	6	6	5	5	2	4	1	3	9	2	1	1	1	9	2	23	2	2	2	17	2	2	1	9	1	1
880	2	8	2	7	6	6	5	5	3	4	2	3	3	2	3	1	1	3	3	23	2	3	1	2	2	9	1	2	1	1
890	5	8	5	7	6	6	5	5	3	4	1	3	3	2	3	1	1	3	3	23	2	3	2	5	1	2	1	1	1	1
900	4	8	5	7	6	6	5	5	2	4	1	3	3	2	5	1	1	17	2	23	2	2	2	18	2	2	1	9	1	1
910	3	8	3	7	2	6	2	5	2	4	2	3	3	2	3	1	1	3	2	2	1	2	1	3	2	1	1	2	1	1
920	1	8	1	7	6	6	5	5	4	4	1	3	3	2	5	1	1	17	4	23	1	4	1	1	1	1	1	1	1	1
930	1	8	1	7	6	6	5	5	1	4	1	3	5	2	4	1	1	18	1	23	2	1	2	1	1	2	1	1	1	1
940	4	8	4	7	6	6	5	5	3	4	1	3	2	2	4	1	1	13	3	23	2	3	2	4	2	2	1	9	1	1
950	5	8	5	7	5	6	5	5	2	4	2	3	1	2	1	1	1	1	2	5	1	2	1	5	2	1	1	2	1	1
960	4	8	4	7	23	6	5	5	2	4	1	3	1	2	1	1	1	1	1	23	2	9	9	4	9	9	1	9	1	1
970	3	8	3	7	23	6	5	5	1	4	2	3	2	2	2	1	1	2	9	23	1	9	1	3	2	1	1	2	1	1
980	4	8	14	7	6	6	5	5	2	4	1	3	1	2	9	1	1	9	2	23	1	2	1	14	1	1	1	1	1	1
990	1	8	2	7	6	6	5	5	2	4	2	3	4	2	5	1	1	18	9	23	2	9	2	9	2	2	1	2	1	1
1000	2	8	1	7	6	6	5	5	4	4	9	3	9	2	1	1	1	9	3	23	2	14	2	9	2	2	1	9	1	1
1010	3	8	14	7	6	6	5	5	1	4	1	3	2	2	2	1	1	2	2	23	1	9	1	14	1	1	1	1	1	1
1020	5	8	5	7	6	6	5	5	3	4	2	3	1	2	1	1	1	1	3	23	2	3	2	5	2	2	1	2	1	1
1030	2	8	2	7	5	6	5	5	3	4	1	3	1	2	1	1	1	1	3	5	1	3	1	2	1	1	1	1	1	1
1040	13	8	4	7	23	6	5	5	2	4	1	3	1	2	9	1	1	9	2	23	2	2	2	13	1	2	1	1	1	1
1050	3	8	10	7	6	6	5	5	3	4	2	3	5	2	5	1	1	5	11	23	2	11	2	10	2	2	1	2	1	1
1060	5	8	5	7	6	6	5	5	12	4	2	3	10	2	3	1	1	10	1	23	1	12	1	5	2	1	1	2	1	1
1070	10	8	1	7	6	6	6	5	1	4	1	3	3	2	3	1	1	3	1	6	1	1	1	10	1	1	1	1	1	1
1080	3	8	17	7	23	6	5	5	2	4	2	3	4	2	18	1	1	18	2	23	2	2	2	17	2	2	1	2	1	1
1090	3	8	17	7	6	6	5	5	2	4	2	3	5	2	5	1	1	5	2	23	2	2	2	17	2	2	1	2	1	1
1100	5	8	5	7	6	6	5	5	1	4	9	3	4	2	4	1	1	4	1	23	1	1	1	5	2	1	1	9	1	1
1110	2	8	2	7	6	6	5	5	4	4	1	3	1	2	1	1	1	1	4	23	1	4	2	2	1	9	1	1	1	1
