Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-55.0375	-83.4808	28.4433	0.613226	0.386774	0.01	0.879283	0.777282	0.239011	0.0951542	0.0696916	0.0289338	0.0166861	0	2.003978	-2	0.3867742	0.6132258	0.01
10	3.1714	-21.0928	24.2642	0.71722	0.28278	0.1755129	0.90067	0.784264	0.236729	0.094613	0.070012	0.0284216	0.0167543	0	6.183096	1.687513	0.2827799	0.7172201	48.69816
20	3.8915	-22.6719	26.5634	0.256287	0.743713	0.12275	0.882216	0.803797	0.239234	0.093322	0.0698726	0.028907	0.016596	0	3.883879	1.823329	0.7437127	0.2562873	66.57769
30	3.72459	-21.1529	24.8775	0.782479	0.217521	0.4215666	0.882528	0.793593	0.241051	0.0940058	0.071224	0.028808	0.0166971	0	5.569805	1.670014	0.2175207	0.7824793	46.77504
40	4.97071	-22.9791	27.9498	0.740922	0.259078	6.361716	0.889991	0.782978	0.243603	0.0949784	0.0712057	0.0278691	0.0163599	0	2.497463	1.985882	0.2590782	0.7409218	96.80157
50	3.00666	-19.3633	22.37	0.799519	0.200481	3.947858	0.873088	0.778631	0.246367	0.0929484	0.0695953	0.0284657	0.0160085	0	8.077297	1.843066	0.2004808	0.7995192	69.67321
60	5.20406	-21.5558	26.7599	0.200514	0.799486	4.079416	0.894358	0.784338	0.242008	0.0943299	0.0697689	0.0283044	0.0163061	0	3.687405	1.665008	0.799486	0.200514	46.23897
70	6.18048	-20.7693	26.9498	0.311014	0.688986	3.889008	0.902301	0.783268	0.24381	0.0964421	0.0707091	0.0284154	0.0165657	0	3.497436	1.974662	0.6889857	0.3110143	94.33263
80	5.96051	-21.2328	27.1933	0.514512	0.485488	3.931652	0.902306	0.788929	0.247897	0.0964062	0.0697325	0.0282169	0.0162457	0	3.253982	1.864953	0.4854876	0.5145124	73.27451
90	2.27743	-23.5709	25.8483	0.110071	0.889929	6.603074	0.900106	0.808633	0.247467	0.0931303	0.0711547	0.0277005	0.0163785	0	4.598985	1.63788	0.8899289	0.1100711	43.43905
100	4.45722	-23.9991	28.4563	0.89998	0.10002	5.310382	0.905686	0.809833	0.243955	0.0922038	0.0704423	0.0280711	0.0164931	0	1.990993	1.760835	0.1000203	0.8999797	57.65477
110	3.44508	-21.6838	25.1289	0.803378	0.196622	5.060837	0.908799	0.808995	0.23825	0.0921651	0.0715809	0.0284817	0.0164251	0	5.318336	1.600354	0.1966217	0.8033783	39.84322
120	6.26646	-21.2349	27.5013	0.733928	0.266072	3.678568	0.895211	0.804151	0.245372	0.0963854	0.0729718	0.0276042	0.0165643	0	2.945956	1.96474	0.2660721	0.7339279	92.20187
130	5.35954	-21.2606	26.6201	0.373676	0.626324	2.367927	0.882474	0.798391	0.247221	0.0965572	0.0727077	0.028126	0.0166955	0	3.827156	1.608481	0.6263242	0.3736758	40.59575
140	4.58086	-20.7621	25.343	0.303818	0.696182	3.213035	0.889112	0.799642	0.239881	0.0966075	0.072999	0.0283779	0.0162542	0	5.104268	1.551618	0.6961816	0.3038184	35.6138
