Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-55.1874	-86.982	31.7946	0.836837	0.163163	0.01	0.20771	0.17514	0.106295	0.0677372	0.0612637	0.0390976	0.0285425	0	2.112695	-2	0.1631631	0.8368369	0.01
10	6.46602	-20.9142	27.3802	0.455692	0.544308	0.1979169	0.210277	0.178408	0.104976	0.0669945	0.0606717	0.0397537	0.0286266	0	6.527043	1.970453	0.5443084	0.4556916	93.4229
20	6.6822	-21.6922	28.3744	0.993241	0.00675928	0.1685122	0.20529	0.178734	0.104364	0.0665524	0.0598848	0.0386492	0.0288794	0	5.532857	1.100508	0.006759283	0.9932407	12.60399
30	8.47657	-21.9309	30.4074	0.958908	0.0410919	1.057982	0.205558	0.173221	0.102786	0.0666774	0.0590142	0.0388221	0.028761	0	3.499849	1.844173	0.04109191	0.9589081	69.85104
40	10.2253	-18.9138	29.139	0.686407	0.313593	4.315577	0.207071	0.172536	0.103306	0.0647126	0.0588218	0.0397755	0.0277139	0	4.768233	1.759778	0.3135931	0.6864069	57.51452
50	11.3829	-20.323	31.7059	0.936786	0.0632136	5.199134	0.211491	0.171355	0.105848	0.0655465	0.0593228	0.0395761	0.0281308	0	2.201403	1.751276	0.06321364	0.9367864	56.39958
60	11.2533	-19.1996	30.4529	0.299199	0.700801	5.10291	0.206499	0.171012	0.105446	0.0658737	0.0584942	0.0397312	0.0283225	0	3.454354	1.823289	0.7008012	0.2991988	66.57159
70	10.2666	-21.5611	31.8277	0.223234	0.776766	5.329095	0.20606	0.173222	0.105519	0.0668737	0.0601297	0.0398643	0.0280678	0	2.07956	1.501368	0.7767665	0.2232335	31.72256
80	11.51	-20.6613	32.1713	0.274349	0.725651	5.738616	0.203558	0.17568	0.103542	0.0669428	0.0587834	0.0385561	0.0284046	0	1.735977	1.83955	0.7256513	0.2743487	69.11147
90	10.6882	-19.0118	29.7	0.773895	0.226105	8.307642	0.210943	0.175303	0.105554	0.0670997	0.0594453	0.0382356	0.0283935	0	4.207232	1.919142	0.226105	0.773895	83.01224
100	10.4651	-18.8707	29.3358	0.609502	0.390498	4.653638	0.213332	0.17631	0.102939	0.0650804	0.0595995	0.0386295	0.0291597	0	4.5715	1.76039	0.3904978	0.6095022	57.59571
110	9.01221	-20.4961	29.5083	0.670777	0.329223	2.364152	0.212286	0.17924	0.106955	0.0646871	0.0600841	0.0379486	0.0286384	0	4.398935	1.287225	0.3292231	0.6707769	19.37425
120	8.59862	-22.5714	31.1701	0.915244	0.0847558	8.441121	0.209997	0.179354	0.106151	0.0649092	0.0605457	0.0381282	0.0290001	0	2.737223	1.589641	0.08475579	0.9152442	38.87234
130	9.49482	-18.7673	28.2621	0.893126	0.106874	4.246246	0.203962	0.17368	0.107202	0.0673777	0.0595342	0.0387742	0.0289143	0	5.645201	1.889643	0.106874	0.893126	77.56093
