Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
0	1	8	7	7	1	6	5	5	4	4	3	3	2	2	1	1	2	11	5	18	1	15	1	24	1	1	1	9	1	1
10	2	8	2	7	3	6	1	5	1	4	2	3	9	2	1	1	2	9	3	1	1	3	3	2	2	10	1	2	1	1
20	7	8	7	7	17	6	23	5	6	4	1	3	1	2	1	1	2	1	5	23	9	17	1	7	2	9	1	2	1	1
30	7	8	7	7	4	6	5	5	23	4	2	3	2	2	1	1	2	2	4	23	1	4	1	7	2	1	1	2	1	1
40	7	8	7	7	4	6	16	5	2	4	2	3	2	2	1	1	1	2	18	16	2	18	2	7	1	2	1	1	1	1
50	6	8	6	7	1	6	1	5	1	4	3	3	2	2	1	1	1	11	1	1	1	1	1	6	1	1	1	1	1	1
60	7	8	7	7	4	6	5	5	5	4	3	3	2	2	1	1	2	11	4	5	1	4	10	7	2	10	1	2	1	1
70	7	8	7	7	4	6	1	5	6	4	3	3	3	2	1	1	2	3	4	19	1	4	1	7	2	1	1	2	1	1
80	5	8	7	7	5	6	5	5	5	4	1	3	3	2	1	1	2	10	2	5	1	16	1	28	2	1	1	2	1	1
90	7	8	7	7	5	6	5	5	16	4	3	3	3	2	1	1	2	3	5	16	1	5	1	7	2	1	1	2	1	1
100	2	8	2	7	4	6	2	5	2	4	4	3	4	2	1	1	1	4	2	2	3	13	3	2	1	3	1	1	1	1
110	7	8	7	7	16	6	4	5	4	4	1	3	1	2	1	1	2	1	2	4	3	16	3	7	2	3	1	2	1	1
120	7	8	7	7	2	6	4	5	4	4	3	3	3	2	1	1	2	3	2	4	3	2	3	7	2	3	1	2	1	1
130	7	8	7	7	3	6	2	5	2	4	4	3	4	2	1	1	2	4	3	2	1	3	1	7	2	1	1	2	1	1
140	7	8	7	7	5	6	5	5	4	4	1	3	1	2	1	1	2	1	5	18	1	5	1	7	2	1	1	2	1	1
150	7	8	7	7	5	6	4	5	4	4	1	3	1	2	1	1	1	1	5	4	9	5	1	7	1	9	1	1	1	1
160	2	8	2	7	5	6	20	5	2	4	3	3	10	2	1	1	1	10	16	20	3	16	3	2	1	3	1	1	1	1
170	6	8	6	7	3	6	4	5	4	4	3	3	3	2	1	1	1	3	1	4	1	10	1	6	1	1	1	1	1	1
180	7	8	7	7	2	6	5	5	5	4	1	3	1	2	1	1	2	1	2	5	11	2	2	7	2	11	1	2	1	1
190	29	8	7	7	1	6	2	5	4	4	3	3	3	2	1	1	2	3	1	13	3	1	3	29	2	3	1	2	1	1
200	4	8	7	7	2	6	6	5	6	4	4	3	4	2	1	1	2	4	2	6	3	2	3	27	2	3	1	2	1	1
210	7	8	7	7	18	6	1	5	3	4	3	3	11	2	1	1	2	11	5	10	3	18	2	7	2	11	1	2	1	1
220	5	8	28	7	3	6	2	5	2	4	2	3	2	2	1	1	2	2	3	2	3	3	3	28	2	3	1	2	1	1
230	2	8	7	7	4	6	4	5	4	4	2	3	2	2	1	1	2	2	4	4	3	4	3	25	2	3	1	2	1	1
240	7	8	7	7	2	6	5	5	5	4	1	3	3	2	1	1	2	10	2	5	3	2	3	7	2	3	1	2	1	1
250	6	8	6	7	4	6	1	5	1	4	2	3	2	2	1	1	1	2	2	1	3	13	3	6	1	3	1	1	1	1
