Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-60.4642	-96.2625	35.7983	0.0981319	0.901868	0.01	0.550801	0.092234	0.0928034	0.0686067	0.0264707	0.0192616	0.0147622	0	0.04159921	-2	0.9018681	0.09813194	0.01
10	9.20459	-23.105	32.3096	0.514494	0.485506	0.05349272	0.547353	0.0947316	0.0925861	0.0687629	0.0256799	0.0191645	0.0149157	0	3.530293	1.897963	0.4855056	0.5144944	79.06122
20	9.73107	-22.2385	31.9696	0.793216	0.206784	0.533765	0.557758	0.0956002	0.0908509	0.0679668	0.0253241	0.0188966	0.0150202	0	3.870314	1.563196	0.2067837	0.7932163	36.57597
30	11.2432	-21.9663	33.2095	0.735629	0.264371	2.769531	0.555813	0.0940519	0.0903374	0.0676151	0.0258626	0.0186077	0.0146345	0	2.630412	1.929958	0.2643706	0.7356294	85.10565
40	10.7464	-22.8722	33.6186	0.505608	0.494392	1.411832	0.548977	0.0935193	0.0937383	0.0683367	0.0259349	0.018679	0.0150021	0	2.221281	1.992832	0.4943921	0.5056079	98.36313
50	9.96411	-19.3192	29.2833	0.486811	0.513189	2.093354	0.544022	0.0931511	0.0927141	0.0697158	0.0260286	0.0186869	0.0146502	0	6.556588	1.964422	0.5131893	0.4868107	92.13447
60	10.4285	-21.969	32.3975	0.818357	0.181643	2.617288	0.54353	0.0948771	0.0939439	0.0711429	0.0265513	0.0184983	0.0149112	0	3.442438	1.658778	0.1816426	0.8183574	45.58043
70	10.0308	-19.9567	29.9874	0.653346	0.346654	2.354074	0.537549	0.093099	0.0926309	0.0685537	0.0264588	0.0189764	0.0152351	0	5.852497	1.734406	0.3466537	0.6533463	54.25081
80	11.3788	-21.4166	32.7954	0.796669	0.203331	2.261179	0.537199	0.093264	0.0909575	0.0688415	0.0256624	0.0191519	0.015197	0	3.044488	1.899484	0.2033315	0.7966685	79.33841
90	9.63291	-20.3924	30.0253	0.0280699	0.97193	3.806634	0.53308	0.0925898	0.0906892	0.0694585	0.0261002	0.0188874	0.0151083	0	5.814634	1.955691	0.9719301	0.02806995	90.30064
100	10.7194	-20.694	31.4134	0.87317	0.12683	1.583152	0.533304	0.0926411	0.0910782	0.0697989	0.0261342	0.0184595	0.0149569	0	4.426541	1.745761	0.1268298	0.8731702	55.68794
110	10.1522	-22.3664	32.5186	0.557403	0.442597	3.973378	0.554035	0.0937368	0.091297	0.0701185	0.0264822	0.0191956	0.0150214	0	3.321305	1.899788	0.4425967	0.5574033	79.394
120	10.9185	-20.0128	30.9314	0.653615	0.346385	3.036228	0.552241	0.0923062	0.0915955	0.0710823	0.0262627	0.0189531	0.0151094	0	4.908551	1.988398	0.3463848	0.6536152	97.36393
130	10.3003	-21.6763	31.9766	0.602264	0.397736	2.746584	0.549183	0.0935112	0.0915265	0.0696289	0.0255986	0.0193659	0.0153225	0	3.863275	1.66549	0.3977355	0.6022645	46.29032
140	11.4957	-20.9942	32.4899	0.0705921	0.929408	2.104208	0.541204	0.0963211	0.0938641	0.0697259	0.0253754	0.0189193	0.0151302	0	3.350034	1.993908	0.9294079	0.07059205	98.60717
150	9.08504	-20.8241	29.9091	0.3694	0.6306	3.46832	0.54562	0.0925768	0.0937059	0.0698955	0.0257979	0.0191391	0.0149692	0	5.930785	1.756877	0.6306005	0.3693995	57.13169
160	10.4548	-20.0547	30.5095	0.890459	0.109541	3.30749	0.558362	0.0939667	0.0939432	0.0703429	0.026137	0.0193345	0.0146853	0	5.330415	1.966876	0.1095413	0.8904587	92.65656
170	10.6401	-20.0758	30.7159	0.18724	0.81276	3.007222	0.53602	0.0922877	0.0919789	0.0699829	0.026367	0.0193416	0.014728	0	5.124032	1.923122	0.8127596	0.1872404	83.77654
180	10.7191	-20.7457	31.4647	0.915734	0.0842661	1.58164	0.545768	0.0933413	0.0913657	0.068728	0.0264682	0.019137	0.0146279	0	4.375177	1.727977	0.08426608	0.9157339	53.45355
190	9.87445	-20.0247	29.8991	0.474408	0.525592	2.926871	0.532458	0.0942146	0.0948305	0.0685243	0.0259679	0.0186687	0.014745	0	5.940776	1.818181	0.5255921	0.4744079	65.79322
200	8.25539	-20.1291	28.3845	0.741078	0.258922	3.173442	0.536279	0.0967978	0.0925445	0.0694637	0.0256433	0.0189592	0.0146293	0	7.455382	1.721172	0.2589222	0.7410778	52.6226
210	10.8311	-21.3549	32.1859	0.862484	0.137516	2.968257	0.540502	0.0952728	0.0936978	0.0701361	0.0258329	0.0190119	0.0147573	0	3.653968	1.826246	0.1375163	0.8624837	67.02646
220	8.20723	-25.6226	33.8298	0.964599	0.0354006	0.112138	0.544334	0.0941525	0.0944282	0.0698921	0.0255114	0.0187297	0.0149384	0	2.010099	1.657275	0.03540056	0.9645994	45.42287
230	8.67947	-21.3734	30.0529	0.74373	0.25627	0.7165846	0.558361	0.0941678	0.0941892	0.0695169	0.0257504	0.0187699	0.0152909	0	5.787009	1.316632	0.2562702	0.7437298	20.73154
240	10.3235	-20.7897	31.1132	0.865336	0.134664	2.861962	0.550238	0.0939039	0.0944198	0.0700536	0.0252883	0.0188707	0.015199	0	4.726745	1.76068	0.1346637	0.8653363	57.63423
250	9.45123	-19.7106	29.1618	0.874388	0.125612	1.283995	0.545006	0.0921189	0.0942181	0.0685433	0.0254634	0.0188939	0.0151792	0	6.678101	1.987686	0.1256118	0.8743882	97.20431
260	10.1763	-22.0879	32.2642	0.727371	0.272629	0.695393	0.547745	0.0932798	0.0929353	0.067833	0.0256902	0.0186149	0.0152594	0	3.575687	1.782563	0.2726289	0.7273711	60.61266
270	9.37182	-22.0261	31.3979	0.994515	0.00548531	3.933031	0.556334	0.0948988	0.093631	0.0685825	0.025815	0.0192111	0.0147919	0	4.442002	1.791968	0.005485314	0.9945147	61.93952
280	9.73959	-19.614	29.3536	0.113343	0.886657	2.086715	0.539135	0.092325	0.0922232	0.0682046	0.0255498	0.0190778	0.0149414	0	6.486329	1.761432	0.8866567	0.1133433	57.7341
290	8.42299	-19.8329	28.2559	0.812307	0.187693	3.195348	0.532387	0.0930161	0.0908238	0.0700248	0.0260582	0.0191847	0.0150419	0	7.584059	1.780671	0.1876926	0.8123074	60.34915
300	8.67212	-21.2032	29.8753	0.478222	0.521778	3.517451	0.539503	0.0939225	0.0903007	0.0678389	0.0258159	0.0184824	0.0148561	0	5.964625	1.693931	0.5217777	0.4782223	49.42326
310	9.82173	-24.0224	33.8441	0.296323	0.703677	1.857856	0.538012	0.093043	0.0925434	0.0695358	0.0259969	0.0192904	0.0153133	0	1.99583	1.587569	0.7036771	0.2963229	38.68732
320	10.0244	-22.0871	32.1115	0.139765	0.860235	1.200073	0.536369	0.0930085	0.0913987	0.0700183	0.0258898	0.0189104	0.0146529	0	3.728376	1.467866	0.8602347	0.1397653	29.36745
330	7.53695	-20.7308	28.2678	0.20918	0.79082	4.465275	0.539082	0.0964836	0.0908497	0.0711267	0.0254553	0.0190499	0.0150959	0	7.572137	1.956887	0.7908196	0.2091804	90.54967
340	8.81889	-19.135	27.9539	0.800393	0.199607	2.286052	0.547764	0.0962099	0.0906947	0.0694734	0.0254595	0.0186704	0.0151702	0	7.886005	1.80875	0.1996072	0.8003928	64.37984
350	10.1256	-21.5239	31.6495	0.165336	0.834664	1.233893	0.539781	0.0951062	0.0919539	0.0685944	0.0257388	0.0185944	0.0153481	0	4.190413	1.512567	0.8346641	0.1653359	32.55116
