state,range0,00000000
1,10000000
2,01000000
3,00100000
4,00010000
5,00001000
6,00000100
7,00000010
8,00000001
9,11000000
10,10100000
11,01100000
12,10010000
13,01010000
14,00110000
15,10001000
16,01001000
17,00101000
18,00011000
19,10000100
20,01000100
21,00100100
22,00010100
23,00001100
24,10000010
25,01000010
26,00100010
27,00010010
28,00001010
29,00000110
30,10000001
31,01000001
32,00100001
33,00010001
34,00001001
35,00000101
36,00000011
37,11100000
38,11010000
39,10110000
40,01110000
41,11001000
42,10101000
43,01101000
44,10011000
45,01011000
46,00111000
47,11000100
48,10100100
49,01100100
50,10010100
51,01010100
52,00110100
53,10001100
54,01001100
55,00101100
56,00011100
57,11000010
58,10100010
59,01100010
60,10010010
61,01010010
62,00110010
63,10001010
64,01001010
65,00101010
66,00011010
67,10000110
68,01000110
69,00100110
70,00010110
71,00001110
72,11000001
73,10100001
74,01100001
75,10010001
76,01010001
77,00110001
78,10001001
79,01001001
80,00101001
81,00011001
82,10000101
83,01000101
84,00100101
85,00010101
86,00001101
87,10000011
88,01000011
89,00100011
90,00010011
91,00001011
92,00000111
93,11110000
94,11101000
95,11011000
96,10111000
97,01111000
98,11100100
99,11010100
100,10110100
101,01110100
102,11001100
103,10101100
104,01101100
105,10011100
106,01011100
107,00111100
108,11100010
109,11010010
110,10110010
111,01110010
112,11001010
113,10101010
114,01101010
115,10011010
116,01011010
117,00111010
118,11000110
119,10100110
120,01100110
121,10010110
122,01010110
123,00110110
124,10001110
125,01001110
126,00101110
127,00011110
128,11100001
129,11010001
130,10110001
131,01110001
132,11001001
133,10101001
134,01101001
135,10011001
136,01011001
137,00111001
138,11000101
139,10100101
140,01100101
141,10010101
142,01010101
143,00110101
144,10001101
145,01001101
146,00101101
147,00011101
148,11000011
149,10100011
150,01100011
151,10010011
152,01010011
153,00110011
154,10001011
155,01001011
156,00101011
157,00011011
158,10000111
159,01000111
160,00100111
161,00010111
162,00001111
163,11111000
164,11110100
165,11101100
166,11011100
167,10111100
168,01111100
169,11110010
170,11101010
171,11011010
172,10111010
173,01111010
174,11100110
175,11010110
176,10110110
177,01110110
178,11001110
179,10101110
180,01101110
181,10011110
182,01011110
183,00111110
184,11110001
185,11101001
186,11011001
187,10111001
188,01111001
189,11100101
190,11010101
191,10110101
192,01110101
193,11001101
194,10101101
195,01101101
196,10011101
197,01011101
198,00111101
199,11100011
200,11010011
201,10110011
202,01110011
203,11001011
204,10101011
205,01101011
206,10011011
207,01011011
208,00111011
209,11000111
210,10100111
211,01100111
212,10010111
213,01010111
214,00110111
215,10001111
216,01001111
217,00101111
218,00011111
219,11111100
220,11111010
221,11110110
222,11101110
223,11011110
224,10111110
225,01111110
226,11111001
227,11110101
228,11101101
229,11011101
230,10111101
231,01111101
232,11110011
233,11101011
234,11011011
235,10111011
236,01111011
237,11100111
238,11010111
239,10110111
240,01110111
241,11001111
242,10101111
243,01101111
244,10011111
245,01011111
246,00111111
247,11111110
248,11111101
249,11111011
250,11110111
251,11101111
252,11011111
253,10111111
254,01111111
255,11111111
