Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-57.0272	-90.2649	33.2378	0.798834	0.201166	0.01	0.410844	0.154403	0.131995	0.0949237	0.0517701	0.0469078	0.0109146	0	0.3919318	-2	0.2011658	0.7988342	0.01
10	6.71042	-22.334	29.0444	0.114032	0.885968	0.2623834	0.413462	0.15358	0.135856	0.0952609	0.0521943	0.0451203	0.0111511	0	4.585298	1.498529	0.8859678	0.1140322	31.51587
20	6.36654	-21.0475	27.414	0.648082	0.351918	0.4556718	0.415887	0.153802	0.137993	0.094995	0.0527007	0.0456756	0.0110745	0	6.215668	1.657298	0.3519177	0.6480823	45.42529
30	7.80722	-21.0841	28.8914	0.436594	0.563406	4.299456	0.425806	0.154367	0.138189	0.096839	0.0523764	0.0460227	0.0111019	0	4.738322	1.823471	0.5634061	0.4365939	66.59957
40	5.43498	-20.2026	25.6376	0.79826	0.20174	2.177553	0.424209	0.150431	0.137539	0.0962135	0.0516864	0.046178	0.0108617	0	7.992126	1.539901	0.2017401	0.7982599	34.66581
50	8.09359	-22.1582	30.2517	0.11248	0.88752	3.996503	0.413689	0.152475	0.138493	0.0976949	0.0529794	0.0466404	0.0108533	0	3.377943	1.740888	0.8875198	0.1124802	55.06663
60	7.24622	-22.5421	29.7883	0.0126132	0.987387	4.505864	0.412854	0.151994	0.137692	0.0974768	0.0530369	0.0463513	0.0110349	0	3.841335	1.512545	0.9873868	0.01261324	32.54952
70	7.92472	-20.8929	28.8176	0.0256321	0.974368	3.453384	0.415432	0.152373	0.132688	0.0986625	0.0541045	0.0467354	0.0110346	0	4.812039	1.834497	0.9743679	0.02563208	68.31196
80	6.99601	-25.2098	32.2058	0.410658	0.589342	4.599404	0.417127	0.151492	0.132303	0.0972486	0.0537281	0.0450853	0.0111364	0	1.423867	1.802994	0.5893421	0.4106579	63.53222
90	6.75704	-20.5727	27.3297	0.535968	0.464032	4.996105	0.415496	0.15029	0.131834	0.0963555	0.0526474	0.0448221	0.0111302	0	6.299933	1.865909	0.4640316	0.5359684	73.43597
100	7.41929	-23.137	30.5563	0.122135	0.877865	5.346294	0.416282	0.154429	0.132767	0.0983909	0.053866	0.045869	0.0111401	0	3.073373	1.601664	0.8778654	0.1221346	39.96356
110	7.41903	-20.7432	28.1622	0.242966	0.757034	5.005398	0.418827	0.15328	0.132261	0.0940967	0.0523449	0.0468869	0.0110246	0	5.467434	1.92885	0.7570337	0.2429663	84.88875
120	6.78618	-22.8911	29.6773	0.476531	0.523469	7.804483	0.415535	0.151194	0.134161	0.0963051	0.0529799	0.0461904	0.011142	0	3.952381	1.798317	0.5234687	0.4765313	62.85169
130	5.30777	-23.4647	28.7724	0.782255	0.217745	9.837368	0.411106	0.149169	0.132156	0.0946382	0.0515944	0.0449322	0.0107606	0	4.857256	1.888334	0.2177451	0.7822549	77.32749
140	8.06871	-23.0502	31.1189	0.634312	0.365688	2.171577	0.414478	0.149501	0.133473	0.0950805	0.0525267	0.0457956	0.0106641	0	2.51079	1.913376	0.3656879	0.6343121	81.91733
150	6.29584	-19.9592	26.2551	0.487811	0.512189	3.45125	0.414521	0.151009	0.132539	0.0972087	0.0538648	0.0470656	0.0106151	0	7.374616	1.838687	0.5121887	0.4878113	68.97424
160	7.89708	-23.3714	31.2685	0.361541	0.638459	1.837708	0.412852	0.150609	0.134512	0.0963933	0.0538678	0.0461651	0.0107202	0	2.361155	1.959976	0.6384587	0.3615413	91.19605
170	8.04902	-23.657	31.706	0.201629	0.798371	3.565595	0.414489	0.148882	0.136589	0.0953842	0.05267	0.0448031	0.0108036	0	1.923688	1.942496	0.7983706	0.2016294	87.59839
180	7.30843	-20.6564	27.9649	0.363366	0.636634	1.379992	0.421783	0.149088	0.136381	0.0958532	0.0537816	0.045215	0.0107343	0	5.664807	1.984377	0.6366337	0.3633663	96.46662
190	7.71422	-20.6194	28.3336	0.934128	0.0658723	2.171226	0.412431	0.151451	0.137814	0.0943492	0.0524742	0.0460433	0.0106501	0	5.296098	1.935831	0.06587233	0.9341277	86.2642
200	7.10999	-22.8513	29.9613	0.709812	0.290188	1.851152	0.413804	0.152617	0.135812	0.0944013	0.0539643	0.045865	0.0106177	0	3.668358	1.433958	0.2901878	0.7098122	27.16178
210	8.16316	-22.2747	30.4378	0.0736839	0.926316	5.950568	0.423301	0.154267	0.133066	0.0947403	0.0536785	0.0451143	0.0108655	0	3.191838	1.92581	0.9263161	0.07368395	84.29651
220	7.14891	-20.1764	27.3253	0.141949	0.858051	3.018683	0.424565	0.150019	0.132624	0.0986871	0.0536951	0.0455033	0.0108545	0	6.304412	1.880378	0.8580511	0.1419489	75.92381
230	7.35354	-22.5316	29.8851	0.196403	0.803597	7.242697	0.425387	0.151548	0.133991	0.0958394	0.0534499	0.0463857	0.0110698	0	3.744597	1.865578	0.8035974	0.1964026	73.38001
240	7.67851	-24.1423	31.8208	0.266025	0.733975	3.70461	0.414321	0.150815	0.132099	0.0980817	0.0541278	0.0458369	0.011024	0	1.808865	1.833488	0.7339748	0.2660252	68.15353
250	7.899	-22.0955	29.9945	0.23491	0.76509	2.53044	0.425219	0.154858	0.132806	0.095718	0.0528899	0.0459394	0.010756	0	3.635217	1.667914	0.7650897	0.2349103	46.54936
260	7.50976	-20.9993	28.5091	0.08147	0.91853	1.503785	0.423148	0.151131	0.133423	0.096671	0.0534943	0.0465804	0.0106571	0	5.120623	1.816676	0.91853	0.08147002	65.56555
