Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
0	1	8	7	7	6	6	1	5	4	4	3	3	2	2	1	1	3	11	1	10	1	12	1	24	1	19	1	1	1	1
10	4	8	4	7	3	6	1	5	1	4	2	3	2	2	2	1	2	2	1	2	1	1	3	4	1	3	1	1	1	1
20	7	8	7	7	2	6	1	5	1	4	5	3	5	2	1	1	1	5	1	1	1	1	2	7	1	2	1	1	1	1
30	3	8	3	7	23	6	4	5	4	4	11	3	2	2	2	1	2	11	1	2	2	4	6	3	2	23	1	2	1	1
40	7	8	1	7	5	6	2	5	1	4	5	3	5	2	1	1	10	5	1	10	1	9	5	24	1	5	1	1	1	1
50	7	8	6	7	6	6	1	5	1	4	4	3	4	2	1	1	1	4	1	1	1	1	6	29	1	6	1	1	1	1
60	7	8	29	7	6	6	1	5	1	4	3	3	3	2	9	1	2	3	1	9	2	1	6	29	2	6	1	2	1	1
70	6	8	6	7	2	6	1	5	1	4	1	3	1	2	2	1	2	1	1	2	2	1	2	6	9	2	1	9	1	1
80	7	8	7	7	2	6	1	5	1	4	3	3	3	2	3	1	3	3	1	3	2	1	2	7	2	2	1	2	1	1
90	29	8	6	7	2	6	4	5	4	4	4	3	4	2	2	1	2	4	1	2	1	4	2	29	1	2	1	1	1	1
100	7	8	7	7	5	6	2	5	2	4	2	3	9	2	1	1	1	9	1	1	2	2	5	7	2	5	1	2	1	1
110	7	8	7	7	6	6	1	5	1	4	3	3	11	2	1	1	1	11	1	1	1	1	6	7	1	6	1	1	1	1
120	7	8	7	7	1	6	1	5	1	4	5	3	5	2	1	1	1	5	1	1	2	1	1	7	2	1	1	2	1	1
130	7	8	7	7	22	6	3	5	3	4	1	3	1	2	3	1	3	1	1	3	1	3	4	7	9	22	1	9	1	1
140	7	8	7	7	3	6	4	5	4	4	5	3	5	2	2	1	2	5	1	2	9	4	11	7	2	11	1	9	1	1
150	7	8	7	7	4	6	1	5	1	4	3	3	3	2	1	1	1	3	1	1	2	1	4	7	2	4	1	2	1	1
160	7	8	7	7	3	6	3	5	3	4	9	3	1	2	2	1	2	9	1	2	2	3	3	7	2	3	1	2	1	1
170	7	8	7	7	3	6	1	5	1	4	1	3	1	2	1	1	9	1	1	9	9	1	3	7	1	3	1	9	1	1
180	29	8	7	7	3	6	1	5	1	4	1	3	1	2	1	1	1	1	1	1	1	1	3	29	1	3	1	1	1	1
190	7	8	7	7	21	6	1	5	9	4	3	3	3	2	9	1	2	3	1	9	2	9	6	7	2	21	1	2	1	1
200	7	8	7	7	5	6	1	5	1	4	12	3	4	2	1	1	1	12	1	1	1	1	5	7	1	5	1	1	1	1
210	6	8	7	7	6	6	1	5	1	4	2	3	2	2	2	1	2	2	1	2	1	1	6	29	1	6	1	1	1	1
220	7	8	7	7	3	6	1	5	1	4	5	3	5	2	3	1	3	5	1	3	1	1	3	7	1	3	1	1	1	1
230	7	8	7	7	5	6	1	5	1	4	1	3	1	2	2	1	2	1	1	2	1	1	5	7	1	5	1	1	1	1
240	6	8	29	7	1	6	2	5	2	4	2	3	2	2	2	1	2	2	1	2	1	2	1	29	1	1	1	1	1	1
250	6	8	6	7	4	6	1	5	1	4	2	3	2	2	2	1	2	2	1	2	1	1	4	6	1	4	1	1	1	1
260	7	8	7	7	4	6	1	5	1	4	5	3	5	2	2	1	2	5	1	2	1	1	4	7	1	4	1	1	1	1
270	6	8	29	7	6	6	1	5	1	4	1	3	1	2	2	1	2	1	1	2	1	1	6	29	1	6	1	1	1	1
280	7	8	7	7	1	6	2	5	2	4	1	3	1	2	2	1	2	1	1	2	2	2	1	7	2	1	1	2	1	1
290	7	8	7	7	6	6	2	5	2	4	2	3	2	2	1	1	1	2	1	1	2	2	6	7	9	6	1	9	1	1
300	7	8	7	7	4	6	2	5	2	4	2	3	2	2	1	1	1	2	1	1	2	2	4	7	2	4	1	2	1	1
310	7	8	7	7	21	6	2	5	3	4	5	3	15	2	2	1	2	15	1	2	1	11	6	7	1	21	1	1	1	1
