Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-74.6257	-114.565	39.9393	0.669151	0.330849	0.01	0.389602	0.163115	0.0714372	0.0429504	0.0232287	0.00458496	0.00155599	0	0.2390037	-2	0.3308491	0.6691509	0.01
10	11.3787	-23.2518	34.6305	0.0795823	0.920418	0.06821378	0.384717	0.160777	0.0713223	0.0430215	0.0227606	0.00466544	0.00157216	0	5.547786	1.808539	0.9204177	0.07958234	64.34863
20	11.6092	-25.5977	37.2069	0.666094	0.333906	0.1446787	0.400385	0.162541	0.0715526	0.0428194	0.0231769	0.00468773	0.0015511	0	2.971393	1.933063	0.3339059	0.6660941	85.71623
30	10.4086	-27.8194	38.228	0.0856499	0.91435	1.219725	0.382735	0.161595	0.0710795	0.0426589	0.0227453	0.00473787	0.00156299	0	1.950301	1.706102	0.9143501	0.0856499	50.82783
40	11.8158	-22.5924	34.4082	0.616412	0.383588	1.038855	0.38564	0.161093	0.0705667	0.0428904	0.0231818	0.00468013	0.00158845	0	5.770167	1.940764	0.3835879	0.6164121	87.24978
50	12.6133	-24.1322	36.7455	0.171931	0.828069	1.686547	0.39404	0.164684	0.0703164	0.0432213	0.0232352	0.00473531	0.0015188	0	3.432875	1.970933	0.8280687	0.1719313	93.52614
60	11.6957	-22.2372	33.933	0.813365	0.186635	0.9293249	0.391909	0.166147	0.069264	0.0427865	0.0232449	0.00460431	0.00156641	0	6.245354	1.968853	0.1866346	0.8133654	93.07932
70	10.5997	-26.5937	37.1935	0.409823	0.590177	0.9798635	0.395937	0.16714	0.0685956	0.0432741	0.0234174	0.00456354	0.00153606	0	2.984873	1.713473	0.5901771	0.4098229	51.69787
80	11.0339	-24.7242	35.7581	0.0116892	0.988311	1.175035	0.399238	0.165389	0.0698723	0.0417929	0.0235629	0.0045138	0.00151561	0	4.420209	1.70368	0.9883108	0.0116892	50.54516
90	11.7593	-22.9961	34.7554	0.601029	0.398971	1.759077	0.394256	0.163239	0.0701404	0.0412156	0.0238311	0.00461949	0.00151633	0	5.422903	1.961201	0.3989713	0.6010287	91.45362
100	12.0889	-22.9029	34.9918	0.0219489	0.978051	1.365158	0.391631	0.160941	0.0697088	0.0418086	0.0233809	0.0047061	0.00155573	0	5.186503	1.904946	0.9780511	0.02194894	80.34262
110	10.3327	-21.0523	31.3851	0.0178012	0.982199	1.165661	0.391204	0.164379	0.0711123	0.04322	0.0234332	0.0047205	0.00155047	0	8.793272	1.971643	0.9821988	0.01780122	93.67927
120	8.54788	-29.7637	38.3115	0.349016	0.650984	2.338171	0.384524	0.163886	0.068421	0.0425677	0.0233486	0.00451222	0.00155743	0	1.866803	1.694548	0.6509835	0.3490165	49.49349
130	9.50726	-26.9064	36.4137	0.359116	0.640884	3.647231	0.385905	0.168101	0.0684994	0.0412867	0.0235757	0.00470676	0.00157611	0	3.764638	1.894982	0.6408843	0.3591157	78.52024
140	11.1765	-26.3659	37.5424	0.78162	0.21838	1.463403	0.393916	0.162515	0.0684264	0.0426311	0.0234552	0.0047329	0.00155254	0	2.635959	1.874496	0.2183796	0.7816204	74.90246
150	10.0712	-22.0865	32.1577	0.431612	0.568388	1.148802	0.389175	0.162552	0.0692977	0.0430641	0.0231357	0.00472432	0.00154652	0	8.020647	1.861092	0.5683881	0.4316119	72.62603
160	8.45729	-25.9809	34.4382	0.155869	0.844131	4.137444	0.393403	0.161438	0.0711811	0.0413646	0.023055	0.00471315	0.00155562	0	5.740114	1.936924	0.8441313	0.1558687	86.48161
170	10.7033	-24.1063	34.8096	0.450185	0.549815	2.693149	0.383075	0.162846	0.0700881	0.0421137	0.0235691	0.00464036	0.00157605	0	5.368698	1.922972	0.5498153	0.4501847	83.74749
