Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-63.2618	-96.6841	33.4223	0.823192	0.176808	0.01	0.252672	0.166976	0.160588	0.117597	0.0419964	0.0204581	0.017728	0	0.8183805	-2	0.1768078	0.8231922	0.01
10	7.54855	-22.9887	30.5373	0.848777	0.151223	0.09639946	0.253481	0.165007	0.159809	0.11614	0.04117	0.0198355	0.0173794	0	3.703405	1.665244	0.1512233	0.8487767	46.26412
20	6.39532	-20.3573	26.7527	0.394641	0.605359	0.4125853	0.252752	0.164965	0.161727	0.116747	0.0419686	0.0204435	0.0176712	0	7.488027	1.873661	0.6053587	0.3946413	74.75851
30	7.14232	-23.7839	30.9262	0.672285	0.327715	0.3916788	0.258313	0.166519	0.160971	0.116321	0.0409649	0.0203123	0.0176401	0	3.314489	1.378635	0.3277153	0.6722847	23.91306
40	8.89144	-20.6893	29.5807	0.321099	0.678901	2.341504	0.253263	0.166841	0.160088	0.119741	0.0414632	0.0203334	0.017677	0	4.659976	1.622391	0.6789005	0.3210995	41.91709
50	8.12684	-21.7393	29.8662	0.181475	0.818525	0.5851704	0.251894	0.16447	0.164351	0.119474	0.0420829	0.0203089	0.0177309	0	4.374515	1.994844	0.8185254	0.1814746	98.81971
60	8.6696	-19.6543	28.3239	0.138815	0.861185	3.179629	0.25509	0.172605	0.166401	0.118573	0.0420306	0.0197838	0.0171756	0	5.916805	1.783476	0.8611849	0.1388151	60.74018
70	9.4863	-21.3939	30.8802	0.54046	0.45954	2.068409	0.252508	0.171884	0.162294	0.115569	0.0416294	0.0200271	0.0174719	0	3.360474	1.826474	0.4595405	0.5404595	67.0616
80	9.51552	-21.4679	30.9834	0.472533	0.527467	3.332622	0.259355	0.169131	0.165143	0.120637	0.0416392	0.0203567	0.0175946	0	3.257289	1.686271	0.5274667	0.4725333	48.55915
90	6.87186	-21.9709	28.8428	0.684709	0.315291	1.36144	0.260402	0.169054	0.166652	0.118347	0.0420061	0.0202953	0.0171875	0	5.397872	1.2632	0.3152913	0.6847087	18.33159
100	8.09315	-20.6764	28.7696	0.557802	0.442198	1.068057	0.254521	0.169199	0.159161	0.117722	0.0424879	0.0197104	0.0170102	0	5.471115	1.77833	0.4421984	0.5578016	60.02467
110	5.9762	-19.7282	25.7043	0.409511	0.590489	1.277659	0.252344	0.164963	0.166087	0.116849	0.0413687	0.019854	0.0171501	0	8.536332	1.500943	0.5904894	0.4095106	31.69154
120	8.06661	-23.7061	31.7727	0.39976	0.60024	4.438448	0.25931	0.167132	0.166609	0.11774	0.0413754	0.0201288	0.0176788	0	2.467947	1.536942	0.6002395	0.3997605	34.43042
130	9.99529	-20.9452	30.9405	0.729291	0.270709	2.777995	0.263918	0.165754	0.163491	0.117209	0.0427836	0.0201686	0.0175452	0	3.300202	1.941218	0.2707089	0.7292911	87.34092
140	9.81718	-21.7814	31.5986	0.679178	0.320822	4.754623	0.262588	0.169307	0.159951	0.118822	0.041432	0.0201622	0.0174866	0	2.642062	1.83527	0.3208224	0.6791776	68.43377
150	9.99166	-21.3778	31.3695	0.0358504	0.96415	4.295177	0.263985	0.169174	0.158721	0.118657	0.0408373	0.0198246	0.0170647	0	2.871175	1.840826	0.9641496	0.03585039	69.31485
160	9.44033	-22.3561	31.7964	0.206147	0.793853	5.302279	0.258201	0.167808	0.161236	0.11923	0.0410582	0.0197384	0.0176013	0	2.444229	1.81318	0.793853	0.206147	65.03993
170	8.79971	-21.6544	30.4541	0.887691	0.112309	2.091936	0.253162	0.167159	0.1645	0.120287	0.0407749	0.0197217	0.0177813	0	3.78654	1.557594	0.1123085	0.8876915	36.10722
180	10.2676	-21.5509	31.8185	0.83227	0.16773	3.871622	0.256713	0.167744	0.163472	0.119152	0.0428098	0.0194912	0.0174828	0	2.422145	1.962523	0.1677296	0.8322704	91.73237
190	8.16551	-23.7959	31.9614	0.771472	0.228528	1.442376	0.258636	0.17106	0.164211	0.117224	0.0425317	0.0194535	0.0175572	0	2.279257	1.621318	0.2285282	0.7714718	41.81367
200	8.74175	-21.9405	30.6823	0.912945	0.0870553	2.78238	0.257997	0.167461	0.159804	0.118479	0.0423651	0.0197302	0.0170957	0	3.558423	1.530791	0.08705526	0.9129447	33.94617
210	9.53841	-20.7726	30.311	0.811488	0.188512	2.115881	0.263216	0.171088	0.162535	0.117663	0.0426909	0.0194587	0.0175732	0	3.929695	1.990854	0.1885125	0.8114875	97.91614
220	7.10972	-24.5562	31.666	0.826314	0.173686	7.292042	0.261684	0.168693	0.161906	0.116363	0.0426116	0.0198155	0.0175866	0	2.574728	1.727183	0.1736865	0.8263135	53.35593
230	8.95131	-24.0215	32.9728	0.0365517	0.963448	3.921095	0.255634	0.164884	0.161709	0.118572	0.0423282	0.0197292	0.0176031	0	1.267908	1.939104	0.9634483	0.03655168	86.91677
240	9.22016	-21.6065	30.8266	0.636525	0.363475	4.53658	0.260422	0.165317	0.1615	0.119987	0.0421087	0.0200721	0.0172423	0	3.41404	1.695549	0.3634746	0.6365254	49.60769
250	9.01111	-23.2269	32.238	0.930219	0.0697811	2.207847	0.259146	0.166395	0.159707	0.119863	0.0414656	0.0196897	0.0176793	0	2.002689	1.82122	0.06978114	0.9302189	66.25525
260	9.64348	-21.9447	31.5881	0.113659	0.886341	2.562071	0.259667	0.170305	0.161783	0.118035	0.0413971	0.0197002	0.0175894	0	2.652542	1.812528	0.8863415	0.1136585	64.94242
270	9.75768	-21.2601	31.0178	0.401802	0.598198	3.552411	0.259484	0.169328	0.161334	0.11849	0.0408729	0.0200561	0.0175458	0	3.222881	1.754503	0.5981984	0.4018016	56.82027
280	9.71748	-22.4518	32.1692	0.0639793	0.936021	3.191987	0.252218	0.172468	0.159707	0.119081	0.0413396	0.0203689	0.0171586	0	2.071447	1.864817	0.9360207	0.06397931	73.25156
